S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,228,227,1,
37,Vijayanagara,148,147,1,
38,Vijayapur,226,226,0,
39,Yadgir,144,104,40,
40,Forest Cell,43,29,14,
41,CID,270,131,139,
42,ISD Bengaluru,84,61,23,
43,State INT,840,637,203,
44,APTS Yelahanka,16,8,8,
45,Battalion I - Bangalore,63,31,32,
46,Battalion II - Belgaum,39,4,35,
47,Battalion III - Bangalore,58,50,8,
48,Battalion IV - Bangalore,50,1,49,
49,Battalion IX - Bangalore,38,35,3,
50,Battalion V - Mysore,44,33,11,
51,Battalion VI - Gulbarga,40,33,7,
52,Battalion VII - Mangalore,36,31,5,
53,Battalion VIII - Shimoga,41,40,1,
54,Battalion X - Haveri,46,33,13,
55,Battalion XI - Hassan,51,44,7,
56,Battalion XII Tumakuru,43,43,0,
57,Central Range,5,3,2,
58,Centre for Counter Terrorism,47,13,34,
59,Chief Office,115,14,101,
60,COMMANDANT MOUNTED,KARP 20,20,0,
61,Eastern Range,2,2,0,
62,FPB Unit,19,6,13,
63,FSL Madiwala,20,11,9,
64,I.R.B. Vijayapura,47,46,1,
65,IGP Railways,3,3,0,
66,IGP TRAINING,8,1,7,
67,IIIrd BN KSISF,27,11,16,
68,IInd BN KSISF,36,35,1,
69,IRB Munirabad,52,43,9,
70,ISD,154,130,24,
71,Ist BN KSISF,53,53,0,
72,Kalaburgi Range,6,3,3,
73,KPA Mysore,32,32,0,
74,KSPTS Channapatna,22,22,0,
,,,,,
