S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,213,85,128,
37,Vijayanagara,145,137,8,
38,Vijayapur,184,184,0,
39,Yadgir,151,40,111,
40,Forest Cell,40,8,32,
41,CID,259,13,246,
42,ISD Bengaluru,92,20,72,
43,State INT,829,127,702,
44,APTS Yelahanka,19,0,19,
45,Battalion I - Bangalore,63,55,8,
46,Battalion II - Belgaum,39,33,6,
47,Battalion III - Bangalore,60,41,19,
48,Battalion IV - Bangalore,53,45,8,
49,Battalion IX - Bangalore,45,40,5,
50,Battalion V - Mysore,44,41,3,
51,Battalion VI - Gulbarga,38,34,4,
52,Battalion VII - Mangalore,37,35,2,
53,Battalion VIII - Shimoga,39,39,0,
54,Battalion X - Haveri,47,43,4,
55,Battalion XI - Hassan,43,38,5,
56,Battalion XII Tumakuru,46,45,1,
57,Central Range,3,1,2,
58,Centre for Counter Terrorism,67,0,67,
59,Chief Office,134,0,134,
60,COMMANDANT MOUNTED,KARP 23,6,17,
61,Eastern Range,3,2,1,
62,FPB Unit,15,0,15,
63,FSL Madiwala,20,1,19,
64,I.R.B. Vijayapura,49,46,3,
65,IGP TRAINING,11,1,10,
66,IIIrd BN KSISF,38,7,31,
67,IInd BN KSISF,38,6,32,
68,IRB Munirabad,49,34,15,
69,ISD,201,82,119,
70,Ist BN KSISF,58,1,57,
71,Kalaburgi Range,7,0,7,
72,KPA Mysore,36,4,32,
73,KSPTS Channapatna,23,1,22,
74,KSPTS Khanapur,19,0,19,
,,,,,
