S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,227,144,83,
37,Vijayanagara,151,151,0,
38,Vijayapur,243,242,1,
39,Yadgir,147,39,108,
40,Forest Cell,41,14,27,
41,CID,276,21,255,
42,ISD Bengaluru,92,59,33,
43,State INT,924,327,597,
44,APTS Yelahanka,19,8,11,
45,Battalion I - Bangalore,65,3,62,
46,Battalion II - Belgaum,41,31,10,
47,Battalion III - Bangalore,68,54,14,
48,Battalion IV - Bangalore,60,13,47,
49,Battalion IX - Bangalore,44,38,6,
50,Battalion V - Mysore,47,42,5,
51,Battalion VI - Gulbarga,42,22,20,
52,Battalion VII - Mangalore,39,32,7,
53,Battalion VIII - Shimoga,46,29,17,
54,Battalion X - Haveri,48,24,24,
55,Battalion XI - Hassan,52,41,11,
56,Battalion XII Tumakuru,48,37,11,
57,Central Range,6,0,6,
58,Centre for Counter Terrorism,60,0,60,
59,Chief Office,141,0,141,
60,COMMANDANT MOUNTED,KARP 27,19,8,
61,Eastern Range,4,2,2,
62,FPB Unit,24,1,23,
63,FSL Madiwala,20,0,20,
64,I.R.B. Vijayapura,47,9,38,
65,IGP Railways,3,0,3,
66,IGP TRAINING,12,0,12,
67,IIIrd BN KSISF,39,14,25,
68,IInd BN KSISF,38,33,5,
69,IRB Munirabad,52,46,6,
70,ISD,208,119,89,
71,Ist BN KSISF,55,30,25,
72,Kalaburgi Range,9,0,9,
73,KPA Mysore,36,17,19,
74,KSPTS Channapatna,23,15,8,
,,,,,
