DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF OCTOBER - 2024 (AS ON 02/11/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,3,1,6,10,6,2,4,2,4,2,0,2,0,2,3,1,1,0,4,3,0,4,3,1,3,3,1,4,1,3,0,5,2,1,3,4,2,97
2,DACOITY,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9
3,ROBBERY,0,0,1,1,38,2,0,0,0,0,0,1,3,0,0,3,0,0,0,1,1,0,0,0,1,2,0,0,1,1,0,2,0,0,2,1,0,0,61
3a,CHAIN SNATCHING,1,0,0,1,4,2,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,2,0,1,0,2,1,6,1,0,2,0,3,0,0,0,0,0,32
4a,BURGLARY - DAY,2,0,2,9,10,8,4,4,2,1,2,2,1,1,0,4,1,0,0,5,0,0,1,4,3,5,1,1,3,1,4,3,8,2,2,0,1,0,97
4b,BURGLARY - NIGHT,10,9,4,12,79,24,8,13,13,5,5,9,18,3,0,14,11,5,2,9,6,0,6,8,5,11,0,6,17,4,21,9,17,5,5,0,10,4,387
5,THEFT,22,15,24,31,694,139,20,11,23,18,33,8,37,9,15,40,43,17,6,32,20,56,19,12,16,31,20,28,38,43,37,48,59,34,14,19,24,14,1769
6,RIOTS,10,4,5,19,3,6,7,7,5,2,16,0,10,2,9,2,3,1,0,7,6,0,0,9,6,2,1,0,4,22,2,6,2,2,3,3,9,6,201
7,CASES OF HURT,12,16,10,37,282,56,37,24,34,38,46,6,22,1,6,62,16,6,16,27,12,2,23,26,4,56,23,30,71,26,32,52,52,18,27,17,31,20,1276
8,Spl & Local laws,54,103,31,89,1699,86,74,60,99,65,114,15,64,34,58,65,98,51,19,103,41,4,35,27,97,64,125,35,46,100,54,147,110,43,97,70,103,8,4187
