Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
44,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289
IPC)",2657,522,227,312
45,"OFFENCES AGAINST PUBLIC SERVANTS (Public
servant is a victim) (Sec 182-188, 332, 333,
353 IPC)",,,,
,Attempt to Commit,12,1,2,3
,Defence Personnel,3,0,0,2
,Jail Personnel,8,1,1,0
,Judicial Official,12,1,0,1
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,1,0,0,0
,Nationalised Bank Personnel,1,0,0,1
,Other Elected Member,3,1,2,0
,Other Enforcement Official,6,2,3,0
,Other Govt. Official,301,34,33,30
,Para Military Personnel,1,0,0,0
,Police Personnel,299,24,36,30
,Public Sector Undertaking Official,75,7,6,7
,Sub Total,722,71,83,74
46,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,1,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,3,0,0,0
,Para Military Personnel,0,0,0,0
,Police Personnel,4,0,0,1
,Public Sector Undertaking Official,0,0,0,0
,Others,0,0,0,0
,Sub Total,8,0,0,1
47,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC)",,,,
,Death Causeed By Electric Shock,62,14,7,6
,Animal -Related,49,4,5,6
,Boat/Vessel - Related,5,0,0,2
,Explosive/Explosive Substances - Related,33,2,6,4
,Inflammable Substance- Related,22,0,3,4
,Machinery - Related,90,13,5,14
,Poisonous Substance - Related,6,0,1,1
,Other - Related,1219,65,412,79
,Human - Related,594,35,112,59
,Sub Total,2080,133,551,175
48,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC)",1,0,0,0
49,SEDITION (Sec. 124A IPC),,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
