DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JUNE - 2025 (AS ON 01/07/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","City
d
a
w
ar
h
D
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
ar
ag
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,3,3,1,6,10,3,1,3,7,1,2,1,0,0,1,3,1,1,1,5,2,2,0,3,3,4,4,1,1,1,2,5,4,2,0,1,9,2,99
2,DACOITY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7
3,ROBBERY,0,0,1,2,20,2,1,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,4,0,0,1,0,1,0,45
3a,CHAIN SNATCHING,1,1,0,1,10,2,0,0,0,4,1,1,0,0,0,3,0,0,0,0,1,1,0,1,0,5,0,2,2,1,8,3,4,0,0,0,0,0,52
4a,BURGLARY - DAY,5,2,3,1,15,4,7,2,2,2,3,0,4,3,0,3,2,1,1,2,0,0,1,3,2,3,0,1,3,1,3,3,1,0,1,1,1,1,87
4b,BURGLARY - NIGHT,7,1,7,11,46,9,12,5,11,7,9,6,12,5,5,10,11,2,6,12,10,0,3,5,3,4,0,5,19,2,12,14,18,8,6,2,8,2,315
5,THEFT,9,29,20,34,709,90,28,9,21,11,22,13,33,5,4,32,43,11,9,40,14,55,8,18,22,32,27,18,24,39,31,30,60,18,13,17,28,5,1631
5a,SNATCHING,0,0,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,53
6,RIOTS,11,3,3,27,9,4,17,2,10,10,15,3,18,3,13,3,22,0,3,14,12,0,0,9,8,1,2,1,18,25,5,17,6,2,9,16,20,11,352
7,CASES OF HURT,20,17,18,31,277,45,78,17,32,51,61,16,24,12,7,78,19,3,13,35,12,0,21,33,23,55,13,23,64,24,37,65,77,6,30,21,51,27,1436
