Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",2,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),22,2,10,6
4,Kidnapping & Abduction of Children,1393,280,355,447
4.1,For Ransom - of Children,3,1,0,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,1,0,1,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,1,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,8,4,3,2
,Sub Total,1406,285,360,449
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,53,17,14,18
7,POCSO Act,1369,355,368,309
8,Death of Children due to miscarriage,7,2,4,3
9,Juvenile Justice Act,65,25,31,8
10,Child Labour (Pro.& Reg.) Act,20,7,2,2
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),2944,693,789,795
