Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
44,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289
IPC)",5239,214,553,575
45,"OFFENCES AGAINST PUBLIC SERVANTS (Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC)",,,,
,Attempt to Commit,5,3,0,1
,Defence Personnel,3,0,1,1
,Jail Personnel,5,0,1,0
,Judicial Official,1,1,0,0
,Minister,0,0,0,0
,MLA,2,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,3,0,0,0
,Other Enforcement Official,2,0,1,0
,Other Govt. Official,221,36,34,44
,Para Military Personnel,1,1,0,0
,Police Personnel,210,28,31,33
,Public Sector Undertaking Official,45,9,6,9
,Sub Total,498,78,74,88
46,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,0,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,2,1,0,1
,Para Military Personnel,0,0,0,0
,Police Personnel,0,0,0,0
,Public Sector Undertaking Official,0,0,0,0
,Others,2,0,0,2
,Sub Total,4,1,0,3
47,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC)",,,,
,Death Causeed By Electric Shock,37,4,10,8
,Animal -Related,25,3,1,9
,Boat/Vessel - Related,0,1,0,0
,Explosive/Explosive Substances - Related,10,3,0,5
,Inflammable Substance- Related,5,1,2,0
,Machinery - Related,70,6,9,16
,Poisonous Substance - Related,6,0,2,0
,Other - Related,404,95,58,77
,Human - Related,191,36,30,53
,Sub Total,748,149,112,168
48,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC)",1,0,1,0
49,SEDITION (Sec. 124A IPC),,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
