DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF FEBRUARY - 2024 (AS ON 06/03/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
g
a
B","ari
all
B","y
Cit
vi
a
g
a
el
B","Dist
vi
a
g
a
el
B","y
cit
u
ur
al
g
n
e
B","District
u
ur
al
g
n
e
B","ar
d
Bi","ar
g
a
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
g
a
m
a
k
k
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
g
a
n
a
v
a
D","d
a
w
ar
h
D","g
a
d
a
G","n
a
ass
H","eri
v
a
H","y
Cit
d
a
w
ar
h
D
alli
b
b
u
H","F
G.
K.","gi
a
ur
b
a
al
K","y
Cit
gi
a
ur
b
a
al
K","ys
a
w
ail
R
a
k
a
at
n
ar
K","u
g
a
d
o
K","ar
ol
K","al
p
p
o
K","a
y
d
n
a
M","y
Cit
u
or
o
al
g
n
a
M","y
Cit
u
ur
ys
M","District
u
ur
ys
M","ur
h
aic
R","a
ar
g
a
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
g
a
n
a
y
a
Vij","ur
p
a
y
a
Vij","gir
d
a
Y","al
ot
T"
1,MURDER,2,1,0,6,13,7,3,2,4,2,3,0,2,4,0,3,7,6,2,4,2,4,3,2,0,2,0,2,2,4,1,0,5,0,2,0,8,4,112
2,DACOITY,0,0,0,0,5,1,1,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,17
3,ROBBERY,0,0,1,0,69,4,0,1,2,0,1,0,2,1,1,1,0,1,1,0,3,2,0,1,1,0,0,1,4,0,0,1,8,2,0,1,1,0,110
3a,CHAIN SNATCHING,0,0,0,2,12,10,0,1,2,2,2,0,1,0,2,7,0,2,0,0,2,2,0,1,0,4,1,0,4,1,2,0,7,0,0,0,0,0,67
4a,BURGLARY - DAY,0,0,1,3,28,7,2,0,2,2,2,0,1,1,4,5,3,3,2,1,0,0,2,1,3,3,1,1,2,0,4,7,3,1,1,0,2,2,100
4b,BURGLARY - NIGHT,5,10,7,13,65,18,16,6,4,6,5,2,10,3,4,8,12,6,5,12,9,0,4,1,7,7,2,6,11,7,13,13,16,7,6,2,17,3,348
5,THEFT,30,44,16,35,822,128,30,13,34,17,31,24,48,9,11,51,48,15,6,31,23,52,14,26,20,32,11,42,39,54,36,25,61,32,24,27,40,9,2010
6,RIOTS,10,6,9,15,5,17,9,4,6,5,17,4,15,0,2,6,14,2,2,12,6,0,0,11,6,3,2,0,14,19,5,15,5,2,6,10,10,14,288
7,CASES OF HURT,16,22,11,50,345,54,48,37,36,47,55,16,20,2,4,75,23,15,20,20,18,1,27,18,6,51,17,20,66,19,47,65,67,27,45,12,33,10,1465
8,Spl & Local laws,67,92,23,96,2045,158,65,49,86,81,88,22,102,38,63,81,137,73,25,52,51,3,64,39,81,78,117,49,48,80,45,158,128,64,77,50,105,62,4742
9a,RAPE,0,1,0,4,7,3,1,2,2,0,0,0,2,1,2,1,0,3,0,2,0,0,0,0,1,0,1,1,0,1,0,1,2,0,1,0,1,0,40
9b,DOWRY DEATHS,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13
10,POCSO,3,0,2,9,42,6,3,8,12,12,10,5,5,3,2,13,8,4,3,4,4,0,6,10,5,15,4,8,14,5,8,11,11,3,5,9,4,2,278
11,SC ST & POA Act,11,5,3,6,28,8,1,4,0,5,6,2,4,1,4,8,4,4,1,6,2,0,17,2,10,4,1,3,1,7,3,4,14,5,8,5,4,3,204
12a,107 Cr.P.C.,276,243,44,208,83,230,185,214,73,400,430,144,568,78,161,42,40,549,22,264,166,0,405,39,305,63,400,13,118,520,377,382,277,36,364,265,255,255,8494
12b,109 Cr.P.C.,18,13,13,13,90,70,11,1,25,17,15,1,16,5,16,14,29,6,6,7,6,30,10,15,8,12,13,8,13,10,23,26,134,3,5,25,10,2,739
12c,110 Cr.P.C.,11,45,5,6,776,422,23,136,208,82,145,42,34,1,5,120,222,99,234,10,9,0,256,161,12,341,38,289,6,5,239,3,264,140,363,219,76,111,5158
13,CYBER CRIME,0,10,5,6,1643,82,4,4,28,10,6,4,11,6,7,9,7,24,6,0,1,0,6,8,2,6,8,20,1,1,8,12,28,20,4,0,4,3,2004
14a,Cr. Br. of Trust,0,2,0,1,28,5,0,0,1,0,0,2,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,2,2,0,2,0,56
14b,CHEATING,9,13,4,11,271,55,4,1,7,8,5,15,5,5,0,13,7,10,2,9,8,0,5,7,6,1,17,11,8,5,15,15,21,19,4,1,10,5,612
14c,COUNTERFEITING,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
15,KMMC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,8
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,8
16,"Motor vehicles
Theft Cases",19,21,14,19,479,70,11,5,18,9,16,7,28,3,5,23,21,8,3,8,15,3,4,15,5,16,3,29,23,14,20,9,36,8,8,6,21,3,1025
17,NDPS Cases,2,1,0,0,48,6,0,2,5,8,6,4,22,0,0,8,1,10,5,0,2,3,4,3,1,4,83,1,3,0,5,18,4,8,8,0,0,0,275
