S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,167,164,3,
2,Ballari,176,84,92,
3,Belagavi City,236,200,36,
4,Belagavi Dist,274,167,107,
5,Bengaluru City,"3,189","2,523",666,
6,Bengaluru Dist,217,95,122,
7,Bengaluru South,166,82,84,
8,Bidar,194,97,97,
9,Chamarajanagar,106,60,46,
10,Chickballapura,128,101,27,
11,Chikkamagaluru,187,128,59,
12,Chitradurga,176,69,107,
13,Coastal Security Police,55,17,38,
14,Dakshina Kannada,154,139,15,
15,Davanagere,173,100,73,
16,Dharwad,101,93,8,
17,Gadag,109,80,29,
18,Hassan,190,188,2,
19,Haveri,165,97,68,
20,Hubballi Dharwad City,192,137,55,
21,K.G.F,65,34,31,
22,Kalaburagi,220,86,134,
23,Kalaburagi City,186,98,88,
24,Karnataka Railways,91,60,31,
25,Kodagu,143,84,59,
26,Kolar,166,97,69,
27,Koppal,143,120,23,
28,Mandya,192,121,71,
29,Mangaluru City,205,176,29,
30,Mysuru City,205,121,84,
31,Mysuru Dist,156,82,74,
32,Raichur,188,133,55,
33,Shivamogga,183,131,52,
34,Tumakuru,255,104,151,
35,Udupi,143,115,28,
,,,,,
