Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,5,Chikkamagalur District,2
Hassan District,2,Mysore City,1
Bidar District,1,D.K. District,1
Bengaluru District,1,Ramanagar District,1
Shivamogga District,1,Udupi District,1
Haveri District,1,,
