Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",111,5,12,8
15,CRIMINAL BREACH OF TRUST,569,46,38,59
16,CHEATING (Sec.417 to 420 IPC),6582,670,466,556
17,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A)
to 489 (E) IPC )",,,,
,"Stock Share, Debentrue Certificate",0,0,0,0
,Usage of Counterfeit Stamp,0,0,0,0
,Of Coins (Sec 231 to 254 IPC),0,0,0,0
,Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
,"Of Currency Notes And Bank Notes (Sec. 489 (A) to
489 (E) IPC)",30,4,1,1
,Of Others,2,0,0,0
,Sub Total,32,4,1,1
18,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 &
477(A) IPC",,,,
,Forgery,403,38,46,43
,Organised (Racket),1,0,0,0
,Forgery of Passport,1,0,0,1
,Other Forgery,145,14,15,11
,Sub Total,550,52,61,55
19,"CASES OF HURT (Sec. 323 to 335 IPC except
328, 332, 333)",,,,
,Acid Attack (326(a)),8,0,1,0
,Attempt to Acid Attack (326(b)),1,3,0,0
,Grievous Hurt,1225,103,76,83
,Simple Hurt,15815,1299,1153,1216
,Custodial,2,0,0,1
,Sub Total,17051,1405,1230,1300
20,"ADULTERATION (Sec. 272, 273 to 276 IPC)",,,,
,Attempt to Commit,0,0,0,0
,Alcoholic Drink (Liquor),4,0,0,0
,Cement & Chemical/Fertiliser,0,0,0,0
,Cosmetics,0,0,0,0
,Diesel,0,0,0,0
,Drug/Medicine,1,0,1,0
,Edible Oil,0,0,0,0
,Food Grain,0,0,0,0
,Kerosene,0,0,0,0
,Life Saving Drug,0,0,0,0
,Mobile Oil,0,0,0,0
,Petrol,0,0,0,0
,Petroleum Product,0,0,0,0
,Soft Drinks,0,0,0,0
,Spices,1,0,0,0
,Others,5,2,0,0
,Sub Total,11,2,1,0
21,AFFRAY (Sec. 160 IPC ),496,32,33,34
22,"ARSON (Sec. 435, 436, 438 IPC )",,,,
,Agricultural Produce,66,6,1,4
,Attemp to Commit,2,0,1,0
,Boat / Ship,0,0,0,0
,Dwelling House,15,2,1,0
,Educational Institution,2,0,0,0
,Govt. Property,9,1,1,0
,Industrial Establishment,1,0,0,0
,Place of worship,0,1,0,0
,Public Place,12,0,2,0
,Railway Property,0,0,0,0
,Vital Installation,0,0,0,0
,Warehouse (Godown),3,0,0,0
,Others,127,12,8,11
,Sub Total,237,22,14,15
