Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,0,1,0,0
,Office,3,1,1,1
,Public Conveyance,0,0,0,0
,Public Place,13,3,3,6
,Other Places,20,2,5,5
,Sub Total,36,7,9,12
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,1,1,0,0
,Abetment of Suicide,95,28,25,26
,Other Reasons,97,17,29,18
,Attempt to Commit suicide,39,7,17,4
,Sub Total,232,53,71,48
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,0,0,0,0
,Attempt,0,0,0,0
,Major - Man,0,1,0,0
,Major - Woman,0,0,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,0,1,0,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,5,2,3,1
,To Extort Confession,2,0,0,0
,To Extort Property,7,2,2,2
,To settle Dispute,4,1,1,1
,Others,121,38,30,39
,Sub Total,139,43,36,43
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493
to 498 IPC)",14,2,3,1
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,0,0,0,0
,Property,0,0,0,0
,Sub Total,0,0,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,2,1,0,0
,Printed Matter,2,0,0,0
,Others,1,1,0,0
,Sub Total,5,2,0,0
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,3,464,0,3
,Parliament,127,1,32,94
,Other Elected Bodies,3,17,0,0
,Sub Total,133,482,32,97
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
