Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
7,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363
to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO
142,97 BNS)",,,,
,Missing - Boy,1237,231,280,293
,Missing - Girl,417,84,68,83
,For Ransom - of Children,2,1,0,0
,For Ransom - of Cildren for Begging,0,0,0,0
,For Ransom - of Women,1,2,1,0
,For Ransom - of Girls for Immoral Purpose,1,0,0,0
,For Ransom - of Others,20,4,6,4
,Procuration of Minor Girls - For Prostitution,0,0,0,0
,Procuration of Minor Girls - Importring of Girl,0,0,0,0
,Procuration of Minor Girls - For other Purpose,1,0,0,1
,Espionage,0,0,0,0
,Intent to Steal From Child,0,0,0,0
,Murder (Homicide),0,0,0,0
,Obtain Signature Forcibly,1,0,0,0
,Recovering Loan,2,0,0,1
,Settling any Disputes,0,1,0,0
,Unnatural Lust / Illicit Intercourse,0,0,0,0
,Wrongful Confinement,13,0,2,4
,For Exporting,0,0,0,0
,From Lawful Guardianship,3,1,1,1
,For Camel Racing Etc.,0,0,0,0
,To Compel For Marriage,1,1,0,0
,For Slavery,0,0,0,0
,For Stealing From its Person,0,0,0,0
,Others,156,28,29,51
,Sub Total,1855,353,387,438
8,"DACOITY (Sec. 395 to 398
IPC/310(2),310(4),311,312 BNS)",,,,
,At ATM,0,0,0,0
,At Residential Premises,18,1,5,6
,On Highways,11,0,0,2
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,2,1,0,1
,On Other Roads,11,3,1,2
,In Other Places,21,0,2,4
,River & Sea,0,0,0,0
,Sub Total,63,5,8,15
8a,Preparation And Assembly for Dacoity,10,8,2,1
9,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6)
BNS)",,,,
,At ATM,0,0,0,0
,At Residential Premises,44,7,8,8
,On Highways,30,2,7,9
,In Trains,1,0,0,1
,At Banks,0,0,0,0
,At Commercial Places / Establishments,22,3,3,4
,In Other Places,173,30,25,38
,Chain Snatching,167,40,31,36
,Attempt to Commit,24,2,7,5
,Sub Total,461,84,81,101
10,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8),334(2)
BNS)",,,,
,At Residential Premises,1057,212,231,236
,On Highways,1,0,0,0
,In Trains,0,0,0,0
,At Banks,15,1,3,1
,At Commercial Places / Establishments,201,57,37,33
,In Other Places,134,29,28,30
,Temple Theft,165,34,30,24
,Sub Total,1573,333,329,324
