Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 1 0,853,1163,326,1417,1743
2,State Highways,238,613,851,250,1022,1272
3,Other Roads,3 59,1175,1534,364,1789,2153
,TOTAL,907,2641,3548,940,4228,5168
