Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Belagavi District,537,537,100.00
2,Vijayapur District,468,467,99.79
3,Bagalkot District,334,332,99.40
4,Ballari District,341,318,93.26
5,Udupi District,340,315,92.65
6,Dakshina Kannada District,187,171,91.44
7,Chamarajanagar District,250,228,91.20
8,Haveri District,329,245,74.47
9,Hubballi Dharwad City,285,205,71.93
10,Uttara Kannada District,320,212,66.25
11,Koppal District,227,146,64.32
12,Dharwad District,160,89,55.63
13,Gadag District,167,84,50.30
14,KODAGU(Madikeri) District,233,96,41.20
15,Tumakuru District,727,182,25.03
16,Mysuru District,575,128,22.26
17,Mangalore COP,292,64,21.92
18,Chickballapura District,426,87,20.42
19,Kalaburagi City,237,36,15.19
20,Bengaluru City,6622,831,12.55
21,Davanagere District,455,56,12.31
22,Hassan District,572,59,10.31
23,Raichur District,345,35,10.14
24,Mandya District,529,46,8.70
25,Chikkamagaluru District,417,36,8.63
26,Bidar District,368,28,7.61
27,Shivamogga District,564,37,6.56
28,Mysuru City,334,17,5.09
29,Kalaburagi District,305,15,4.92
30,Chitradurga District,549,16,2.91
31,SP Railways,80,2,2.50
32,Bengaluru District,1002,24,2.40
33,Vijayanagara District,285,2,0.70
34,Belagavi City,156,0,0.00
35,K.G.F District,129,0,0.00
36,Kolar District,347,0,0.00
37,Ramanagara District,468,0,0.00
38,Yadgir District,197,0,0.00
Total,,20160,5146,25.53
