Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 3 0,869,1199,360,1420,1780
2,State Highways,244,638,882,252,1164,1416
3,Other Roads,3 45,1178,1523,357,1635,1992
,TOTAL,919,2685,3604,969,4219,5188
