Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,480,128,81,90
,On Highways,0,0,0,0
,In Trains,1,0,0,0
,At Banks,2,0,2,0
,At Commercial Places / Establishments,27,3,9,3
,In Other Places,43,4,8,11
,Temple Theft,14,2,4,2
,Sub Total,567,137,104,106
,Total Burglary (Burglary Day + Burglary Night),2774,584,499,513
11,THEFT (Sec.379 to 389 IPC),,,,
,Of Sand,25,11,3,5
,Attempt to commit,43,31,4,7
,Of Automobiles - Of Tractors,755,184,134,95
,At ATM,3,0,1,0
,Communication And Elec. Wire,120,29,27,24
,Of Cattle,246,37,41,57
,Of Cycle,66,9,11,10
,Of Automobiles - Of Lorries/Trucks,45,19,12,6
,Of Automobiles - Of Buses,5,2,0,2
,Of Automobiles - Of Cars / Jeeps,120,29,12,17
,Of Automobiles - Of Two Wheelers,5819,1183,1061,1021
,Of Automobies - of Three Wheelers,141,24,32,28
,Of Accessories of Motor Vehicle,169,22,23,34
,Govt. Vehicle,2,0,1,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",722,148,137,101
,Of Fire Arms,2,1,0,0
,Of Explosives,0,0,0,0
,Of Cultural - Idols,4,2,0,0
,Of Cultural - Painting,1,0,0,0
,Of Cultrual - Others,137,22,19,20
,Cash,297,61,59,39
,Jewellery,892,120,147,139
,Other Items Not Included Above,982,167,155,170
,In Running Train,17,6,1,0
,Extortion,133,28,18,25
,House Theft,974,230,173,183
,Servant Theft,256,39,50,43
,Sub Total,11976,2404,2121,2026
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,572,130,121,125
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,2,0,0,1
,Labour - Public Sector,1,0,0,0
,Linguistic,2,0,1,0
,Political,11,3,6,1
,Regional,4,1,0,0
,Sectarian,0,0,0,0
,Students,5,1,0,1
,Tribal,0,0,0,0
,Due to Village Disputes,16,3,2,1
,Communal,1,3,1,0
,Industrial,3,1,0,0
,Caste,5,0,3,0
,Agrarian,1,0,0,0
,Others,1405,240,270,234
,Sub Total,2028,382,404,363
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",58,4,5,8
15,CRIMINAL BREACH OF TRUST,274,48,34,49
