DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JULY - 2025 (AS ON 01/08/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","City
d
a
w
ar
h
D
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,1,1,0,4,14,5,6,2,1,1,2,3,1,2,2,0,3,2,0,0,2,3,0,2,0,2,3,0,1,1,2,4,6,0,1,0,3,2,82
2,DACOITY,0,0,0,1,2,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,14
3,ROBBERY,0,0,0,0,22,4,2,2,1,0,1,2,0,0,0,1,0,1,2,0,0,2,0,2,1,0,0,1,1,2,1,2,2,0,2,0,0,0,54
3a,CHAIN SNATCHING,1,2,0,3,4,3,1,0,0,0,1,2,0,1,0,1,1,0,1,0,0,2,5,1,2,0,3,1,2,0,1,1,1,0,0,0,1,0,41
4a,BURGLARY - DAY,2,1,0,3,16,3,5,2,2,2,3,6,1,1,2,0,2,1,1,2,3,4,0,2,3,2,4,0,2,1,5,3,3,1,2,2,3,1,96
4b,BURGLARY - NIGHT,5,6,4,12,58,16,8,13,9,3,7,9,0,17,0,11,10,7,4,5,17,4,0,1,5,6,14,2,5,10,7,15,18,9,10,6,7,6,346
5,THEFT,24,26,18,30,696,92,39,32,15,34,17,32,16,40,5,20,22,29,10,7,36,22,42,5,15,24,30,25,23,29,36,23,47,19,7,10,30,16,1643
5a,SNATCHING,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36
6,RIOTS,7,12,2,11,4,8,3,14,4,12,3,22,4,13,2,5,1,7,0,1,16,2,0,1,7,18,3,0,3,3,34,9,2,1,1,5,19,4,263
7,CASES OF HURT,19,21,15,42,300,48,35,55,32,46,39,60,12,30,7,9,65,9,4,10,27,18,1,17,37,8,41,8,31,59,23,64,54,5,37,17,25,24,1354
8,Spl & Local laws,143,169,79,143,1503,81,66,73,68,131,107,127,35,132,59,147,110,88,49,38,77,83,15,52,39,137,77,109,208,78,119,138,184,92,162,94,126,91,5229
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",0,1,1,1,23,2,1,1,1,1,0,2,1,0,0,1,2,1,1,0,3,0,0,0,1,1,0,4,0,0,3,1,6,1,2,1,4,2,69
9b,DOWRY DEATHS,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,12
10,POCSO,6,4,3,14,46,12,5,4,5,8,8,18,4,10,3,3,16,13,3,2,6,4,1,10,12,5,8,13,7,12,6,18,17,5,5,6,7,8,337
11,SC ST & POA Act,7,6,2,9,25,10,7,3,3,0,8,7,2,7,4,3,12,3,1,1,4,3,0,3,4,6,4,3,3,3,9,6,16,10,5,2,9,8,218
12a,"107 Cr.P.C./126
BNSS",32,39,97,93,70,25,16,71,20,61,147,35,177,45,65,43,35,25,53,17,44,32,0,11,10,52,16,19,9,29,90,153,43,17,32,42,47,29,1841
12b,"109 Cr.P.C/128
BNSS",7,1,4,12,21,12,5,4,3,6,11,3,3,5,2,4,8,2,2,0,0,4,19,2,13,2,4,0,2,5,10,2,46,3,20,4,5,5,261
12c,"110 Cr.P.C/129
BNSS",5,0,9,25,500,75,3,35,0,13,10,1,21,1,10,7,36,13,27,4,4,3,2,0,5,7,47,8,5,0,10,3,21,15,6,1,8,5,945
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",3,13,9,3,942,28,13,3,2,20,9,9,14,5,2,6,10,8,11,13,2,1,2,10,9,1,5,22,16,4,1,14,24,37,8,5,32,1,1317
14a,Cr. Br. of Trust,0,2,0,0,33,2,0,4,0,0,1,1,0,3,0,1,0,0,1,0,2,0,0,0,2,0,1,0,1,0,0,2,3,1,2,1,1,3,67
