Name of the unit,No. of cases,Name of the unit,No. of cases
Belagavi District,2,Shivamogga District,2
Uttara Kannada District,2,Bengaluru City,1
Mangalore City,1,Kalaburgi District,1
Haveri District,1,Kolar District,1
Koppal District,1,Mysore District,1
Raichur District,1,,
