Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
6,"KIDNAPPING AND ABDUCTION (Sec.360, 361,
363 to 369 IPC)",,,,
,Missing - Boy,891,102,74,109
,Missing - Girl,2352,204,195,240
,For Ransom - of Children,10,2,3,0
,For Ransom - of Cildren for Begging,1,0,0,1
,For Ransom - of Women,10,2,2,4
,For Ransom - of Girls for Immoral Purpose,0,1,0,0
,For Ransom - of Others,64,6,4,8
,Procuration of Minor Girls - For Prostitution,0,0,0,0
,Procuration of Minor Girls - Importring of Girl,0,0,0,0
,Procuration of Minor Girls - For other Purpose,16,0,0,2
,Espionage,0,0,0,0
,Intent to Steal From Child,0,0,0,0
,Murder (Homicide),1,0,0,1
,Obtain Signature Forcibly,1,0,0,1
,Recovering Loan,3,1,0,0
,Settling any Disputes,5,0,0,0
,Unnatural Lust / Illicit Intercourse,0,0,0,0
,Wrongful Confinement,14,0,2,3
,For Exporting,0,0,0,0
,From Lawful Guardianship,5,0,0,1
,For Camel Racing Etc.,0,0,0,0
,To Compel For Marriage,10,1,2,2
,For Slavery,0,0,0,0
,For Stealing From its Person,0,0,0,0
,Others,401,38,40,49
,Sub Total,3784,357,322,421
7,DACOITY (Sec. 395 to 398 IPC ),,,,
,At ATM,0,0,0,0
,At Residential Premises,24,1,0,1
,On Highways,28,3,0,2
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,17,2,2,2
,On Other Roads,29,5,2,3
,In Other Places,44,3,5,1
,River & Sea,1,0,0,0
,Sub Total,143,14,9,9
7a,Preparation And Assembly for Dacoity,111,13,6,3
8,Robbery (Sec.392 to 394 IPC),,,,
,At ATM,0,0,0,0
,At Residential Premises,128,14,9,5
,On Highways,83,7,3,7
,In Trains,7,1,0,0
,At Banks,2,0,0,1
,At Commercial Places / Establishments,60,9,11,1
,In Other Places,619,67,34,29
,Chain Snatching,575,54,33,40
,Attempt to Commit,44,4,2,1
,Sub Total,1518,156,92,84
9,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,2437,197,234,226
,On Highways,2,1,0,0
,In Trains,0,0,0,0
,At Banks,36,4,6,4
,At Commercial Places / Establishments,688,91,75,41
,In Other Places,505,69,47,38
,Temple Theft,316,25,26,23
,Sub Total,3984,387,388,332
