S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,167,157,10,
2,Ballari,176,66,110,
3,Belagavi City,236,113,123,
4,Belagavi Dist,275,67,208,
5,Bengaluru City,"3,180","1,175",2005,
6,Bengaluru Dist,226,55,171,
7,Bengaluru South,165,47,118,
8,Bidar,191,69,122,
9,Chamarajanagar,106,44,62,
10,Chickballapura,127,93,34,
11,Chikkamagaluru,187,71,116,
12,Chitradurga,176,44,132,
13,Coastal Security Police,55,12,43,
14,Dakshina Kannada,153,118,35,
15,Davanagere,173,77,96,
16,Dharwad,100,90,10,
17,Gadag,109,34,75,
18,Hassan,184,38,146,
19,Haveri,162,68,94,
20,Hubballi Dharwad City,189,98,91,
21,K.G.F,65,25,40,
22,Kalaburagi,219,46,173,
23,Kalaburagi City,183,56,127,
24,Karnataka Railways,93,24,69,
25,Kodagu,143,52,91,
26,Kolar,162,68,94,
27,Koppal,138,91,47,
28,Mandya,188,69,119,
29,Mangaluru City,205,96,109,
30,Mysuru City,205,70,135,
31,Mysuru Dist,156,58,98,
32,Raichur,187,78,109,
33,Shivamogga,183,124,59,
34,Tumakuru,247,50,197,
35,Udupi,141,91,50,
,,,,,
