DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF SEPTEMBER - 2025 (AS ON 03/10/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","d
a
w
ar
D h City
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,5,3,1,4,13,4,2,1,1,4,0,2,0,3,1,0,3,1,0,0,6,4,2,0,1,3,3,0,0,5,4,3,3,4,4,1,6,3,100
2,DACOITY,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,12
3,ROBBERY,1,0,0,2,33,7,0,0,0,0,3,1,1,0,2,1,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,1,0,1,0,63
3a,CHAIN SNATCHING,0,2,0,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,1,0,1,0,2,1,2,0,0,0,0,27
4a,BURGLARY - DAY,0,0,3,2,17,6,5,2,5,1,2,6,0,3,2,1,6,3,1,1,3,0,0,1,2,4,4,0,0,1,2,1,5,0,2,0,5,1,97
4b,BURGLARY - NIGHT,6,7,11,11,54,23,8,6,13,6,0,2,1,4,3,4,18,9,7,6,10,8,0,4,1,5,7,3,3,18,1,8,9,7,10,3,4,2,302
5,THEFT,26,39,16,43,671,105,26,12,12,13,7,26,21,24,11,11,23,36,10,7,21,22,43,14,16,16,26,25,21,25,34,40,50,21,7,18,23,15,1576
5a,SNATCHING,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
6,RIOTS,14,7,3,24,4,11,3,5,0,8,0,26,1,13,3,8,6,19,1,1,7,2,0,0,7,7,6,0,0,7,17,9,1,0,8,12,8,13,261
7,CASES OF HURT,11,19,15,28,314,51,32,34,32,24,41,56,15,21,3,4,68,19,4,20,23,17,0,27,19,13,61,13,25,78,21,62,66,15,26,9,25,12,1323
8,Spl & Local laws,144,121,20,156,2095,95,73,61,57,101,127,77,40,55,49,92,81,88,61,36,39,50,11,38,45,73,84,88,43,57,77,107,129,87,173,66,141,54,4991
9a,"RAPE (Sec.376,
376(A) to 376 (D)
IPC/64 TO 71 BNS)",1,0,0,0,27,7,0,0,1,2,0,2,2,0,0,0,4,0,1,1,0,1,0,3,1,0,3,4,0,0,3,1,0,2,1,0,1,2,70
9b,DOWRY DEATHS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6
10,POCSO,1,7,1,9,37,15,12,5,6,10,9,10,9,10,2,6,24,12,6,4,4,1,0,4,17,6,13,2,5,19,3,22,18,3,5,9,4,8,338
11,SC ST & POA Act,7,1,0,14,21,12,4,3,5,3,4,4,1,8,8,7,9,5,5,2,1,1,0,4,2,5,9,2,1,4,16,5,9,1,9,4,4,6,206
12a,"107 Cr.P.C./126
BNSS",19,11,59,98,48,10,28,36,4,21,54,28,32,26,28,31,40,13,6,20,16,12,0,29,14,36,14,48,6,22,17,26,46,9,27,58,20,16,1028
12b,"109 Cr.P.C/128
BNSS",14,5,5,11,63,2,3,9,3,3,1,3,0,4,5,3,10,2,2,1,5,3,19,1,4,0,2,1,0,1,3,3,36,0,7,2,10,2,248
12c,"110 Cr.P.C/129
BNSS",6,0,32,9,261,3,1,9,0,4,8,0,0,0,12,5,4,1,5,4,9,4,3,0,1,3,1,23,14,0,7,1,4,13,34,0,29,0,510
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",4,4,9,6,920,41,17,7,9,24,8,5,17,11,4,4,11,9,23,5,0,6,1,1,10,2,9,11,20,5,2,20,27,15,6,1,21,1,1296
14a,Cr. Br. of Trust,0,2,1,2,37,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,1,1,5,3,1,0,2,0,68
14b,CHEATING,16,15,3,9,233,22,20,1,6,8,6,8,3,10,1,1,9,4,4,5,5,6,0,4,6,1,11,13,12,2,7,12,14,8,5,6,5,5,506
14c,COUNTERFEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,10
16,"Motor vehicles
Theft Cases",13,8,14,25,337,61,15,10,11,3,4,11,1,11,4,0,10,16,4,4,10,12,4,2,9,4,16,11,16,11,8,11,22,3,3,6,17,4,731
17,NDPS Cases,3,3,5,8,160,12,7,3,2,3,19,4,4,5,0,0,6,1,6,6,1,4,9,10,7,6,5,48,7,2,2,9,6,47,28,1,2,1,452
