DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF SEPTEMBER - 2024 (AS ON 01/10/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,1,2,2,5,13,8,4,0,2,1,4,0,3,0,1,2,1,1,0,2,2,0,1,1,4,0,1,1,6,6,0,2,5,0,3,2,5,2,93
2,DACOITY,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,9
3,ROBBERY,0,0,0,0,29,1,1,1,0,1,0,0,1,0,1,1,0,7,0,3,2,1,0,1,0,1,1,0,1,3,1,2,1,0,0,0,0,0,60
3a,CHAIN SNATCHING,0,1,0,0,5,2,0,0,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,2,0,4,1,2,3,0,2,0,3,0,0,2,0,0,34
4a,BURGLARY - DAY,4,4,1,3,9,6,0,3,1,1,2,1,3,1,0,3,7,3,1,3,3,0,0,2,0,3,0,2,1,4,4,6,3,3,1,1,4,0,93
4b,BURGLARY - NIGHT,3,1,4,11,50,18,5,6,2,12,6,3,11,1,0,16,10,2,5,8,7,0,4,5,3,4,2,9,9,6,9,15,13,5,7,2,4,2,280
5,THEFT,24,28,20,44,737,153,27,18,22,19,43,9,37,6,9,32,36,18,7,22,25,61,6,19,11,20,11,22,35,32,30,35,57,29,12,10,26,7,1759
6,RIOTS,12,9,0,9,4,6,11,4,12,4,23,0,12,6,8,3,13,2,1,7,7,0,1,9,5,26,0,1,7,21,1,16,4,3,6,5,8,11,277
7,CASES OF HURT,10,18,16,38,295,57,37,25,30,42,62,8,20,4,6,79,14,13,12,22,14,0,18,29,9,62,14,25,73,22,47,45,64,22,27,11,16,9,1315
8,Spl & Local laws,57,94,28,74,2004,118,59,82,97,60,107,23,62,43,24,83,67,60,14,77,50,4,31,28,73,73,132,28,46,75,63,139,95,49,107,26,79,107,4438
9a,RAPE,0,0,0,5,10,2,0,0,3,1,1,2,0,0,0,2,1,1,1,1,5,0,1,0,1,1,1,0,2,4,3,2,0,0,0,2,0,0,52
9b,DOWRY DEATHS,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,13
10,POCSO,7,2,2,9,51,9,4,7,13,12,8,3,3,2,1,12,11,6,1,2,2,0,8,5,6,11,2,6,12,5,10,18,11,10,2,3,7,3,286
11,SC ST & POA Act,6,2,1,10,20,5,3,5,3,5,2,5,6,4,2,10,3,0,3,5,4,0,2,6,4,6,0,3,2,5,5,6,13,3,2,1,9,7,178
12a,107 Cr.P.C.,59,62,95,59,105,12,73,15,25,64,43,14,46,43,96,53,26,13,7,56,17,0,18,12,257,23,44,13,33,30,20,304,43,12,36,45,57,10,1940
12b,109 Cr.P.C.,12,11,12,8,74,18,10,1,8,18,8,8,1,8,9,9,5,3,4,9,7,27,1,6,4,6,1,0,13,4,2,1,25,10,7,3,8,1,362
12c,110 Cr.P.C.,3,0,2,11,57,0,10,2,0,3,1,0,0,1,3,10,1,2,2,12,6,0,0,1,4,0,5,21,0,6,0,3,9,5,0,2,3,4,189
13,CYBER CRIME,5,8,5,8,1382,63,3,4,10,7,2,9,10,11,2,9,11,11,5,1,2,0,4,1,1,3,8,10,3,2,24,7,20,12,7,1,15,2,1688
14a,Cr. Br. of Trust,2,0,0,1,14,3,1,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,3,1,0,0,0,42
