Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 6 3,950,1313,404,1777,2181
2,State Highways,282,659,941,304,1389,1693
3,Other Roads,3 81,1158,1539,378,1753,2131
,TOTAL,1 026,2767,3793,1086,4919,6005
