DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JULY - 2023 (AS ON 07/08/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F
.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
1,MURDER,2,2,2,10,22,5,2,2,1,3,3,0,0,1,0,2,2,3,0,6,2,1,3,8,0,3,1,3,4,3,5,2,1,1,0,4,4,1,114
2,DACOITY,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9
3,ROBBERY,0,1,1,1,97,4,3,1,2,0,1,1,9,2,0,4,0,3,0,1,8,3,0,2,1,2,0,6,1,2,0,2,3,0,2,0,0,0,163
3a,CHAIN SNATCHING,0,0,1,1,10,7,0,2,0,0,3,0,3,0,0,0,1,0,0,0,3,0,0,1,0,4,0,1,1,0,3,2,5,1,0,0,0,0,49
4a,BURGLARY - DAY,5,4,0,4,36,10,3,2,6,3,5,1,1,1,1,7,0,0,2,3,2,0,1,2,3,3,0,1,4,1,5,1,11,4,2,0,2,0,136
4b,BURGLARY - NIGHT,15,10,17,16,81,21,14,10,10,6,13,7,24,3,5,15,14,5,1,8,12,1,6,4,9,12,9,7,25,13,15,12,19,4,3,4,12,8,470
5,THEFT,29,42,35,56,1323,180,32,24,28,21,36,9,78,13,28,48,33,20,3,35,43,80,9,35,27,67,11,49,42,56,60,28,88,7,15,21,42,21,2774
6,RIOTS,8,7,3,18,15,15,14,5,14,4,15,3,18,4,12,7,18,3,2,17,3,1,0,20,4,6,0,0,8,24,3,7,1,1,6,5,9,12,312
7,CASES OF HURT,11,17,9,33,337,49,49,34,36,44,45,11,26,16,8,82,23,14,25,40,23,1,17,36,16,54,8,24,53,24,42,54,71,14,26,20,30,21,1443
8,Spl & Local laws,76,112,26,165,2468,153,110,89,104,173,117,48,180,42,75,98,91,112,33,81,105,8,53,67,57,69,149,70,64,136,73,193,161,79,118,100,138,49,6042
