Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,7,Belagavi District,3
Bengaluru District,3,Chikkamagalur District,1
Chitradurga District,1,Hassan District,1
Tumakuru District,1,Koppal District,1
