Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,2,4,2,2
15,FOREST,,,,
,Indian Forest Act 1927,0,2,0,0
,Forest (Conservation) Act 1980,1,1,1,1
,Sub Total,1,3,1,1
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,10,10,8,10
,Un-Organised,8,7,7,8
,Sub Total,18,17,15,18
18,BONDED LABOUR SYSTEM,26,0,2,26
19,INDIAN MOTOR VEHICLE,1,1,0,1
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,207,279,514,207
,Synthetic,155,167,265,155
,Sub Total,362,446,779,362
21,PASSPORT ACT,,,,
,Foreigner,0,0,0,0
,Indian,1,2,1,1
,Sub Total,1,2,1,1
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,0,0,0,0
,Parliament,0,0,0,0
,Other Elected Bodies,0,1,0,0
,Sub Total,0,1,0,0
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),421,386,485,421
,Street Gambling (87),304,483,328,304
,House Gambling (79 & 80),11,17,14,11
,Betting,32,13,28,32
,Others,38,30,65,38
,Sub Total,806,929,920,806
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",10,20,9,10
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",0,2,0,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,1,1,1,1
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,1,1,1,1
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,154,182,191,154
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",0,0,0,0
,Sub Total,154,182,191,154
31,INDIAN LUNACY ACT,0,0,0,0
