Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
44,"PUBLIC SAFETY (Sec.269 to 271, 277, 283,
289 IPC)",1589,553,316,206
45,"OFFENCES AGAINST PUBLIC SERVANTS
(Public servant is a victim) (Sec 182-188, 332,
333, 353 IPC)",,,,
,Attempt to Commit,5,0,0,2
,Defence Personnel,1,1,0,0
,Jail Personnel,5,1,1,1
,Judicial Official,10,0,2,1
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,1,0,1,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,1,0,0,0
,Other Enforcement Official,2,1,1,0
,Other Govt. Official,180,34,37,38
,Para Military Personnel,1,0,0,1
,Police Personnel,175,31,36,33
,Public Sector Undertaking Official,51,6,11,6
,Sub Total,432,74,89,82
46,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,1,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,3,0,0,1
,Para Military Personnel,0,0,0,0
,Police Personnel,1,0,0,0
,Public Sector Undertaking Official,0,0,0,0
,Others,0,0,0,0
,Sub Total,5,0,0,1
47,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC)",,,,
,Death Causeed By Electric Shock,28,10,5,13
,Animal -Related,27,1,3,5
,Boat/Vessel - Related,3,0,0,1
,Explosive/Explosive Substances - Related,19,0,3,5
,Inflammable Substance- Related,8,2,3,0
,Machinery - Related,45,9,3,19
,Poisonous Substance - Related,3,2,0,1
,Other - Related,541,60,85,84
,Human - Related,300,31,22,39
,Sub Total,974,115,124,167
48,"RECEIVING OF STOLEN PROPERTY (Sec.411
to 414 IPC)",1,1,0,0
49,SEDITION (Sec. 124A IPC),,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
