Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
4,CINEMATOGRAPHY ACT 1952,,,,
,Films,0,1,0,0
,Video,0,0,0,0
,Sub Total,0,1,0,0
5,CONSUMER,,,,
,"Liquified Petroleum Gas Supply & Control Order
2000",38,8,12,6
,Consumer (Protection) Act 1986,6,1,1,1
,Essential Commodities Act 1955,308,91,39,48
,Prevention of Food Adulternation Act 1954,3,1,0,1
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,355,101,52,56
6,COPY RIGHT ACT 1957,,,,
,By Company,98,11,17,12
,By Individual,45,5,10,2
,Sub Total,143,16,27,14
7,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,12,0,0,1
,Sub Total,12,0,0,1
8,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,792,85,122,128
,Scheduled Tribes,182,18,22,22
,Scheduled Caste Women,315,27,48,50
,Scheduled Tribes Women,88,10,15,13
,Sub Total,1377,140,207,213
9,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,83,2,11,5
,Child Marriage (Restraint) Act - 1929,99,20,20,9
,Juvenile Justice Act 1986,58,11,9,6
,Probation of offenders Act 1958,1,0,0,0
,"Protection of Children from Sexual Offences Act
2012 (POCSO)",0,0,0,0
,Sub Total,241,33,40,20
10,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,0,0,0,0
,Public Servant - Gazetted - Central,0,0,0,0
,Public Servant - Gazetted - Defence,0,0,0,0
,"Public Servant - Gazetted - Public Sector
Undertaking",0,0,0,0
,Public Servant - Gazetted - State,0,0,0,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,0,0,0,0
11,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
12,Explosives,,,,
,Explosives Substances Act 1908,18,2,2,1
,Explosives Act 1884,20,1,7,5
,Inflammable Substance Act 1952,0,0,0,0
,Sub Total,38,3,9,6
13,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
14,FOREIGNER,,,,
,Foreigners Act 1946,10,3,0,3
