Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",1325,800,1232,1325
,Sub Total,1325,800,1232,1325
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,1,1,1,1
,Rape with Murder,0,1,0,0
,Rape,142,175,191,142
,Others,66,89,80,66
,Sub Total,209,266,272,209
,Total (Item 1 to 36),3740,3907,4383,3740
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,0,1,0,0
,1.3 other Cases of Rape,29,37,46,29
,Sub Total,29,38,46,29
2,Outraging modesty (Molestation) (sec.354 IPC),458,504,497,458
3,Kidnapping & Abduction of Women: (Sec.366 IPC),7,20,20,7
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",7,9,9,7
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",2,0,1,2
7,Murder for other reasons,26,35,34,26
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,1,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",2,2,1,2
10,Attempt to Commit murder for other reasons,68,65,65,68
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),5,13,16,5
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",215,219,231,215
14,Abetment of Suicide (Sec.306 IPC),10,16,13,10
15,Immoral Traffic (prevention) Act.,18,17,15,18
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,0,0,0
17,Pornography,2,0,0,2
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",4,8,8,4
19,Offences related to Marriage,6,2,2,6
20,Cyber Crimes,431,218,218,431
,Total (Item 1 to 20),1290,1166,1177,1290
