Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 8,839,1147,335,1541,1876
2,State Highways,286,646,932,315,1154,1469
3,Other Roads,4 10,1294,1704,419,1920,2339
,TOTAL,1 004,2779,3783,1069,4615,5684
