S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Khanapur,19,2,17,
76,KSRP PTS BELAGAVI,18,12,6,
77,KSRP Training Munirabad,14,9,5,
78,PDMS Yelahanka,32,3,29,
79,PTC Gulbarga,44,2,42,
80,PTS Aimangala,19,5,14,
81,PTS Dharwad,21,8,13,
82,PTS Hassan,20,0,20,
83,PTS Kaduru,16,0,16,
84,PTS Mysuru,21,3,18,
85,PTS Thanisandra,20,0,20,
86,RFSL Ballari,7,4,3,
87,RFSL Belgaum,9,3,6,
88,RFSL Davanagere,9,4,5,
89,RFSL Gulbarga,7,0,7,
90,RFSL Hubballi,5,0,5,
91,RFSL Mangalore,12,0,12,
92,RFSL Mysore,8,4,4,
93,SCRB,48,15,33,
94,Southern Range,6,2,4,
95,Special Task Force,8,0,8,
96,State Wireless,85,15,70,
97,TTI Bangalore,7,0,7,
98,Western Range,2,1,1,
,Grand Total,13712,4521,9191,
