S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,212,123,89,
37,Vijayanagara,145,145,0,
38,Vijayapur,186,176,10,
39,Yadgir,151,44,107,
40,Forest Cell,40,10,30,
41,CID,280,22,258,
42,ISD Bengaluru,92,27,65,
43,State INT,911,181,730,
44,APTS Yelahanka,19,0,19,
45,Battalion I - Bangalore,64,57,7,
46,Battalion II - Belgaum,39,35,4,
47,Battalion III - Bangalore,63,36,27,
48,Battalion IV - Bangalore,55,40,15,
49,Battalion IX - Bangalore,45,36,9,
50,Battalion V - Mysore,44,43,1,
51,Battalion VI - Gulbarga,41,30,11,
52,Battalion VII - Mangalore,38,29,9,
53,Battalion VIII - Shimoga,42,39,3,
54,Battalion X - Haveri,47,42,5,
55,Battalion XI - Hassan,53,42,11,
56,Battalion XII Tumakuru,46,45,1,
57,Central Range,3,0,3,
58,Centre for Counter Terrorism,65,5,60,
59,Chief Office,143,0,143,
60,COMMANDANT MOUNTED,KARP 27,9,18,
61,Eastern Range,1,1,0,
62,FPB Unit,24,3,21,
63,FSL Madiwala,20,1,19,
64,I.R.B. Vijayapura,49,31,18,
65,IGP TRAINING,11,0,11,
66,IIIrd BN KSISF,38,9,29,
67,IInd BN KSISF,38,9,29,
68,IRB Munirabad,49,44,5,
69,ISD,201,87,114,
70,Ist BN KSISF,58,11,47,
71,Kalaburgi Range,7,0,7,
72,KPA Mysore,35,4,31,
73,KSPTS Channapatna,23,4,19,
74,KSPTS Khanapur,19,0,19,
,,,,,
