"Comparitive Crime Statement 17 for the Years 2022, 2023, and 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024 As on 31/12/2024,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,271,12,1,258,0,5,17,3,221,5,6,1,0,294,8,3,283,0,2,8,0,235,27,8,2,1,279,5,1,273,0,0,2,0,131,138,2,0,
Cow Slaughter,408,3,2,403,0,9,9,1,364,3,15,2,0,264,6,4,254,0,6,1,1,236,6,3,1,0,235,4,2,229,0,2,0,0,128,93,6,0,
Animal Sacrifice Act,460,20,2,438,0,29,9,3,364,2,30,1,0,347,18,1,328,0,36,3,0,256,8,23,2,0,323,6,2,315,0,11,1,0,150,145,8,0,
P.I.T Act,243,3,0,240,0,4,1,1,230,3,1,0,0,313,3,1,309,0,3,0,0,272,32,1,1,0,299,1,0,298,0,0,0,0,160,138,0,0,
POCSO,3208,56,97,3055,0,139,1338,5,1507,6,10,29,21,3896,53,173,3670,0,71,1021,1,2513,11,15,25,13,3939,45,183,3711,0,5,179,1,2751,749,7,12,
K.P Act,460,6,1,453,0,212,7,2,213,1,4,11,3,1311,207,1,1103,0,413,20,5,637,7,5,15,1,516,34,0,482,0,95,5,1,307,70,1,3,
E.C Act,817,27,2,788,0,8,19,0,674,24,11,49,3,492,10,1,481,0,3,4,0,380,72,2,20,0,427,7,0,420,0,0,0,0,172,246,0,2,
SC/ST/Act,2138,393,120,1625,1,11,324,4,1187,56,4,33,6,2148,385,40,1723,1,5,114,1,1484,81,8,24,6,2124,258,45,1821,0,1,15,2,1331,463,2,6,
Explosive Act,62,4,1,57,0,11,1,0,31,4,9,1,0,270,2,0,268,0,55,1,2,176,24,5,5,0,142,0,0,142,0,6,0,0,29,105,2,0,
