Month,Year,Security Cases,,,Total
,,"107
Cr.PC/126
BNSS","109
Cr.PC/128
BNSS","110
Cr.PC/129
BNSS",
March,2025,4189,512,2880,7581
February,2025,1418,655,1049,3122
March,2024,9676,632,3991,14299
