"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(October -2024)","During the current
Year Upto the month
under review","During the month
under review
(October-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2503,29061,1699,19638
2,Mysuru City,212,2169,35,546
3,Hubballi Dharwad City,142,1464,51,860
4,Mangaluru City,192,1741,125,1277
5,Belagavi City,107,1391,31,339
6,Kalaburagi City,134,1410,41,488
,Central Range,,,,
1,Bengaluru Dist,606,6435,86,1478
2,Ramanagara,286,3334,54,725
3,Tumakuru,467,5254,110,1514
4,Kolar,174,1861,27,415
5,Chickballapura,198,2250,99,1025
6,K.G.F,54,651,19,290
,Eastern Range,,,,
1,Chitradurga,326,3688,114,1203
2,Davanagere,235,2592,64,1045
3,Shivamogga,330,3696,147,1509
4,Haveri,179,2035,98,887
,Western Range,,,,
1,Dakshina Kannada,118,1514,15,289
2,Udupi,203,2227,43,586
3,Chikkamagaluru,198,2177,65,804
4,Uttara Kannada,194,2109,97,788
,Northern Range,,,,
1,Belagavi Dist,327,3628,89,955
2,Bagalkot,192,1796,54,723
3,Vijayapur,240,2399,103,945
4,Dharwad,62,862,34,422
5,Gadag,87,856,58,607
,North Eastern Range,,,,
1,Kalaburagi,218,2135,103,823
2,Bidar,236,2470,74,716
3,Yadgir,119,1192,8,736
,Southern Range,,,,
1,Mysuru Dist,421,4019,46,686
2,Mandya,362,3654,64,983
3,Chamarajanagar,187,1667,60,626
4,Hassan,394,4276,65,959
5,Kodagu,156,1204,35,440
,Ballari Range,,,,
1,Ballari,153,1700,103,1116
2,Koppal,147,1435,97,863
3,Raichur,227,2278,100,1185
4,Vijayanagara,137,1402,70,769
,Karnataka Railways,65,735,4,81
,STATE,10588,114767,4187,49341
