Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
67,Concealment of birth by secret disposal of Child,,,,
,Girl,10,1,0,1
,Boy,26,4,4,2
,Sub Total,36,5,4,3
68,"ASSAULT OR USE OF CRIMINAL FORCE TO
DISROBE WOMEN",10,1,1,2
69,"Disobedience to Order Promulgated by
Public/Servant",,,,
,By Others,13,1,0,1
,By Private Institution,12,0,0,0
,By Govt. Institution,1,0,0,1
,Sub Total,26,1,0,2
70,Human Trafficking,,,,
,Eunuch,0,0,0,0
,Men,3,0,0,1
,Boy,7,0,0,1
,Women,0,0,0,0
,Girl,2,1,0,0
,Sub Total,12,1,0,2
71,Aadhaar Act,,,,
,Impersonation,1,0,0,0
,Offence by Company,0,0,0,0
,Offence by individual,0,0,0,0
,Sub Total,1,0,0,0
72,"Giving false information respecting an offence
com",,,,
,"Giving false information respecting an offence
committed",3,1,0,1
,Sub Total,3,1,0,1
,Total Cognizable Crime Under IPC,114881,12470,10631,10587
,,,,,
,B - SPECIAL & LOCAL LAWS,,,,
1,ANTIQUES (CULTURAL PROPERTY),,,,
,Antiques & Art Treasures Act 1972,0,0,0,0
,"Ancient Monument & Archaelogical Sites And
Remains Act 1958",4,2,0,0
,Sub Total,4,2,0,0
2,ARMS ACT 1959,,,,
,"Country Made - Non Prohibited Bore - In
Disturbed Area",18,2,2,0
,"Country Made - Non Prohibited Bore - In Other
Area",89,12,16,2
,"Country Made - Prohibited Bore - In Disturbed
Area",13,1,1,4
,Country Made - Prohibited Bore - In Other Area,68,8,5,8
,"Factory Made - Non Prohibited Bore - In Disturbed
Area",3,1,1,1
,Factory Made - Non Prohibited Bore - In Other Area,21,2,2,1
,Factory Made - Prohibited Bore - In Disturbed Area,2,0,0,0
,Factory Made - Prohibited Bore - In Other Area,26,1,5,1
,Sub Total,240,27,32,17
3,ANIMAL,,,,
,"The Karnataka Prevention of Slaughter and
Preservation of Cattle Ordinance 2020",128,10,8,13
,Wild Life Preservation Act 1972,0,0,0,0
,Wild Life Protection Act 1972,2,0,0,0
,Prevention of Cruelty to Animals Act 1960,136,11,7,11
,Elephant (Preservation) Act 1879,0,0,0,0
,Cattle Tresspass Act 1871,3,0,0,0
,Sub Total,269,21,15,24
4,CINEMATOGRAPHY ACT 1952,,,,
,Films,2,0,0,0
,Video,0,0,0,0
,Sub Total,2,0,0,0
