Sl No,Unit_Name,FIR Registered,FIR eSign,FIR %
1,Dharwad District,104,104,100.00
2,Koppal District,268,268,100.00
3,Chikkamagaluru District,336,335,99.70
4,Bengaluru District,904,899,99.45
5,Mysuru City,332,330,99.40
6,Belagavi District,400,395,98.75
7,Ramanagara District,579,569,98.27
8,Tumakuru District,803,779,97.01
9,Bagalkot District,247,234,94.74
10,Gadag District,196,184,93.88
11,Kalaburagi City,210,197,93.81
12,Udupi District,265,245,92.45
13,Vijayapur District,316,292,92.41
14,Yadgir District,266,244,91.73
15,Dakshina Kannada District,145,133,91.72
16,K.G.F District,91,83,91.21
17,SP Railways,88,76,86.36
18,Chamarajanagar District,272,232,85.29
19,Vijayanagara District,229,193,84.28
20,Davanagere District,399,331,82.96
21,Ballari District,312,255,81.73
22,Kolar District,253,203,80.24
23,Uttara Kannada District,266,212,79.70
24,Mandya District,704,551,78.27
25,Hassan District,540,418,77.41
26,Chitradurga District,516,388,75.19
27,Bidar District,304,223,73.36
28,Belagavi City,200,129,64.50
29,Mysuru District,491,298,60.69
30,Bengaluru City,5110,3042,59.53
31,Hubballi Dharwad City,392,224,57.14
32,Raichur District,445,252,56.63
33,Haveri District,257,138,53.70
34,KODAGU(Madikeri) District,160,80,50.00
35,Mangalore COP,318,60,18.87
36,Shivamogga District,537,53,9.87
37,Chickballapura District,349,32,9.17
38,Kalaburagi District,360,27,7.50
39,Coastal Security Police,8,0,0.00
Total,,17972,12708,70.71
