S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,204,159,45,
37,Vijayanagara,143,135,8,
38,Vijayapur,188,187,1,
39,Yadgir,156,155,1,
40,Forest Cell,40,27,13,
41,CID,230,55,175,
42,ISD Bengaluru,92,51,41,
43,State INT,754,359,395,
44,APTS Yelahanka,20,2,18,
45,Battalion I - Bangalore,65,61,4,
46,Battalion II - Belgaum,40,39,1,
47,Battalion III - Bangalore,62,62,0,
48,Battalion IV - Bangalore,54,51,3,
49,Battalion IX - Bangalore,47,45,2,
50,Battalion V - Mysore,44,42,2,
51,Battalion VI - Gulbarga,35,34,1,
52,Battalion VII - Mangalore,36,34,2,
53,Battalion VIII - Shimoga,39,38,1,
54,Battalion X - Haveri,45,41,4,
55,Battalion XI - Hassan,38,36,2,
56,Battalion XII Tumakuru,47,47,0,
57,Central Range,2,1,1,
58,Centre for Counter Terrorism,62,1,61,
59,Chief Office,135,16,119,
60,COMMANDANT MOUNTED,KARP 25,11,14,
61,DCRE Headquarters Bengalu,ru 40,2,38,
62,DCRE HQ PS Bengaluru,5,2,3,
63,Eastern Range,3,2,1,
64,FPB Unit,14,6,8,
65,FSL Madiwala,20,6,14,
66,I.R.B. Vijayapura,46,41,5,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,38,8,30,
69,IInd BN KSISF,36,19,17,
70,IRB Munirabad,41,36,5,
71,ISD,178,156,22,
72,Ist BN KSISF,58,51,7,
73,Kalaburgi Range,7,1,6,
74,KPA Mysore,37,20,17,
,,,,,
