Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,203,78,68,73
,On Highways,1,0,0,1
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,11,3,4,5
,In Other Places,11,4,4,1
,Temple Theft,9,1,2,4
,Sub Total,235,86,78,84
,Total Burglary (Burglary Day + Burglary Night),1275,441,449,381
11,THEFT (Sec.379 to 389 IPC),,,,
,Of sand,250,90,105,80
,Attempt to commit,13,4,7,3
,At ATM,2,0,0,2
,Of Automobiles - Of Tractors,35,6,5,20
,Communication And Elec. Wire,68,28,15,27
,Of Cattle,78,43,24,22
,Of Cycle,27,4,5,9
,Of Automobiles - Of Lorries/Trucks,34,17,11,9
,Of Automobiles - Of Buses,4,1,2,1
,Of Automobiles - Of Cars / Jeeps,59,26,13,21
,Of Automobiles - Of Two Wheelers,2468,914,810,843
,Of Automobies - of Three Wheelers,68,19,18,13
,Of Accessories of Motor Vehicle,53,25,18,15
,Govt. Vehicle,0,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",352,112,114,121
,Of Fire Arms,0,1,0,0
,Of Explosives,1,0,1,0
,Of Cultural - Idols,0,1,0,0
,Of Cultural - Painting,1,0,1,0
,Of Cultrual - Others,70,23,23,22
,Cash,124,52,45,40
,Jewellery,303,74,112,94
,Other Items Not Included Above,403,147,130,143
,In Running Train,12,7,4,7
,Extortion,45,17,18,11
,House Theft,373,101,121,119
,Servant Theft,87,20,25,39
,Sub Total,4930,1732,1627,1661
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,267,100,99,86
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,2,1,1,1
,Labour - Public Sector,1,1,0,1
,Linguistic,1,0,0,0
,Political,9,3,5,4
,Regional,1,2,0,1
,Sectarian,0,1,0,0
,Students,1,0,0,0
,Tribal,0,0,0,0
,Due to Village Disputes,4,4,3,0
,Communal,0,3,0,0
,Industrial,2,0,1,0
,Caste,3,1,2,1
,Agrarian,1,0,0,0
,Others,620,261,187,242
,Sub Total,912,377,298,336
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",7,7,2,1
15,CRIMINAL BREACH OF TRUST,116,43,41,40
