Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Trust - Religious,0,0,0,0
,Others,5,3,1,0
,Sub Total,10,4,2,1
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),,,,
,Attempt to Commit,11,0,1,1
,Club,1,1,0,0
,Hostel,1,0,0,0
,Hotel,10,0,2,2
,House,448,44,67,57
,Land,1056,88,151,151
,Office,51,4,10,4
,Prohibited Places,13,2,2,2
,Religious Place,12,1,1,1
,Restricted Area,16,1,2,1
,Others,167,18,23,23
,Sub Total,1786,159,259,242
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),,,,
,Husband,828,68,123,94
,Husband And Relative(S) in Law,1050,113,133,108
,Relative(S) in Law,23,1,1,2
,Dowry Harassment,383,33,70,52
,Prevention of Gaming,0,0,0,0
,Sub Total,2284,215,327,256
30,DOWRY DEATHS (Sec.304(B) IPC),,,,
,By Husband,8,4,1,1
,By Husband And Relatives In Law,51,2,3,11
,By Relatives in Law,0,0,0,0
,By Burning,2,0,1,0
,By Hanging,52,5,7,9
,By Other Means,6,0,1,1
,Sub Total,119,11,13,22
31,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC)",,,,
,Electrocution,16,2,1,1
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,1,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,7,1,1,1
,Caused By Animal,3,0,0,2
,Death Due to Other Cause,54,9,5,5
,Electrocution Accident,44,5,4,6
,Explosion Accident,1,0,0,0
,Fire accident,0,0,0,0
,Gas Leakage Accident,3,0,1,0
,Improper Infrastucture In Construction,55,6,10,3
,Improper Medical Treatment,3,1,0,1
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,0,0,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),2,0,1,0
,Inflammable Substance,0,0,0,0
,Mine Accident,0,0,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,1,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,0,0,0,0
,Others,56,3,7,3
,Sub Total,246,27,30,22
32,"MOTOR VEHICLE ACCIDENTS FATAL
(Sec.304(A) IPC)",,,,
,National Highways,2873,269,295,289
,State Highways,2331,203,225,218
,Other Roads,3102,299,304,315
,Other Places,135,15,11,15
,Sub Total,8441,786,835,837
