Month,Year,Crime_Category,Subcategory,Cases,Kept_Source_File,Removed_Source_File
April,2025,Murder,Murder for gain,3,crime_10.pdf,crime_4.pdf | crime_9.pdf
April,2025,Murder,Other Murders,117,crime_10.pdf,crime_4.pdf
April,2025,Murder,Total Murder,120,crime_10.pdf,crime_4.pdf
April,2025,Dacoity,Dacoity Cases,8,crime_10.pdf,crime_9.pdf
April,2025,Burglary,Burglary Day,91,crime_10.pdf,crime_9.pdf
April,2025,Riots,Riots,295,crime_10.pdf,crime_9.pdf
April,2025,Hurt,Cases of Hurt,1528,crime_10.pdf,crime_9.pdf
April,2025,Crime against Women,Rape,79,crime_10.pdf,crime_9.pdf
April,2025,Crime against Women,Dowry Death,16,crime_10.pdf,crime_4.pdf
April,2025,Economic Offences,Economic Offences,509,crime_10.pdf,crime_9.pdf
April,2025,MMDR & KMMCR,KMMC Rules,0,crime_10.pdf,crime_4.pdf | crime_9.pdf
April,2025,NDPS Cases,NDPS Cases,517,crime_10.pdf,crime_4.pdf | crime_9.pdf
April,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,813,crime_4.pdf,crime_9.pdf
May,2025,Murder,Murder for gain,4,crime_10.pdf,crime_11.pdf | crime_5.pdf
May,2025,Robbery,Total Robbery,85,crime_10.pdf,crime_11.pdf
May,2025,MMDR & KMMCR,KMMC Rules,1,crime_10.pdf,crime_11.pdf | crime_5.pdf
May,2025,NDPS Cases,NDPS Cases,374,crime_10.pdf,crime_11.pdf | crime_5.pdf
May,2025,Crime against Women,Dowry Death,6,crime_11.pdf,crime_5.pdf
May,2025,SC/ST POA Act,SC/ST POA Act,177,crime_11.pdf,crime_5.pdf
May,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,779,crime_11.pdf,crime_5.pdf
June,2025,Murder,Murder for gain,1,crime_11.pdf,crime_12.pdf
June,2025,Hurt,Cases of Hurt,1436,crime_11.pdf,crime_12.pdf
June,2025,Crime against Women,Dowry Death,7,crime_11.pdf,crime_12.pdf
June,2025,MMDR & KMMCR,KMMC Rules,4,crime_11.pdf,crime_12.pdf
June,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,836,crime_11.pdf,crime_12.pdf
June,2025,NDPS Cases,NDPS Cases,662,crime_11.pdf,crime_12.pdf
July,2025,Dacoity,Dacoity Cases,14,crime_12.pdf,crime_13.pdf
July,2025,Robbery,Total Robbery,95,crime_12.pdf,crime_13.pdf
July,2025,Crime against Women,Rape,69,crime_12.pdf,crime_13.pdf
July,2025,Crime against Women,Dowry Death,12,crime_12.pdf,crime_13.pdf
July,2025,MMDR & KMMCR,KMMC Rules,1,crime_12.pdf,crime_13.pdf
July,2025,NDPS Cases,NDPS Cases,701,crime_12.pdf,crime_13.pdf
August,2025,Murder,Murder for gain,3,crime_13.pdf,crime_14.pdf
August,2025,Murder,Other Murders,94,crime_13.pdf,crime_14.pdf
August,2025,Murder,Total Murder,97,crime_13.pdf,crime_14.pdf
August,2025,Burglary,Burglary Day,91,crime_13.pdf,crime_14.pdf
August,2025,Crime against Women,Dowry Death,10,crime_13.pdf,crime_14.pdf
August,2025,MMDR & KMMCR,MMDR Act,4,crime_13.pdf,crime_14.pdf
August,2025,MMDR & KMMCR,KMMC Rules,4,crime_13.pdf,crime_14.pdf
August,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,699,crime_13.pdf,crime_14.pdf
August,2025,NDPS Cases,NDPS Cases,739,crime_13.pdf,crime_14.pdf
August,2025,Dacoity,Dacoity Cases,8,crime_14.pdf,crime_14.pdf
August,2025,Robbery,Chain Snatching,30,crime_14.pdf,crime_14.pdf
August,2025,Robbery,Robbery (Except Chain Snatching),54,crime_14.pdf,crime_14.pdf
August,2025,Robbery,Total Robbery,84,crime_14.pdf,crime_14.pdf
August,2025,Burglary,Burglary Night,350,crime_14.pdf,crime_14.pdf
August,2025,Burglary,Total,441,crime_14.pdf,crime_14.pdf
August,2025,Theft,Reported,1560,crime_14.pdf,crime_14.pdf
August,2025,Riots,Riots,285,crime_14.pdf,crime_14.pdf
August,2025,Hurt,Cases of Hurt,1223,crime_14.pdf,crime_14.pdf
August,2025,Special & Local Laws,Special & Local Laws,4872,crime_14.pdf,crime_14.pdf
August,2025,Crime against Women,Rape,83,crime_14.pdf,crime_14.pdf
August,2025,POCSO,POCSO,379,crime_14.pdf,crime_14.pdf
August,2025,SC/ST POA Act,SC/ST POA Act,172,crime_14.pdf,crime_14.pdf
August,2025,Cyber Crimes,Cyber Crimes,1265,crime_14.pdf,crime_14.pdf
August,2025,Economic Offences,Economic Offences,443,crime_14.pdf,crime_14.pdf
September,2025,Murder,Murder for gain,4,crime_14.pdf,crime_14.pdf
September,2025,Murder,Other Murders,96,crime_14.pdf,crime_14.pdf
September,2025,Murder,Total Murder,100,crime_14.pdf,crime_14.pdf
September,2025,Dacoity,Dacoity Cases,12,crime_14.pdf,crime_14.pdf | crime_15.pdf
September,2025,Robbery,Chain Snatching,27,crime_14.pdf,crime_14.pdf
September,2025,Robbery,Robbery (Except Chain Snatching),63,crime_14.pdf,crime_14.pdf
September,2025,Robbery,Total Robbery,90,crime_14.pdf,crime_14.pdf | crime_15.pdf
September,2025,Burglary,Burglary Night,302,crime_14.pdf,crime_14.pdf
September,2025,Burglary,Burglary Day,97,crime_14.pdf,crime_14.pdf
September,2025,Burglary,Total,399,crime_14.pdf,crime_14.pdf
September,2025,Theft,Reported,1613,crime_14.pdf,crime_14.pdf
September,2025,Riots,Riots,261,crime_14.pdf,crime_14.pdf
September,2025,Hurt,Cases of Hurt,1323,crime_14.pdf,crime_14.pdf
September,2025,Special & Local Laws,Special & Local Laws,4991,crime_14.pdf,crime_14.pdf
September,2025,Crime against Women,Rape,70,crime_14.pdf,crime_14.pdf
September,2025,Crime against Women,Dowry Death,6,crime_14.pdf,crime_14.pdf | crime_15.pdf
September,2025,POCSO,POCSO,338,crime_14.pdf,crime_14.pdf
September,2025,SC/ST POA Act,SC/ST POA Act,206,crime_14.pdf,crime_14.pdf
September,2025,Cyber Crimes,Cyber Crimes,1296,crime_14.pdf,crime_14.pdf
September,2025,Economic Offences,Economic Offences,574,crime_14.pdf,crime_14.pdf
September,2025,MMDR & KMMCR,MMDR Act,10,crime_14.pdf,crime_14.pdf | crime_15.pdf
September,2025,MMDR & KMMCR,KMMC Rules,1,crime_14.pdf,crime_14.pdf | crime_15.pdf
September,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,731,crime_14.pdf,crime_14.pdf | crime_15.pdf
September,2025,NDPS Cases,NDPS Cases,452,crime_14.pdf,crime_14.pdf
October,2025,Dacoity,Dacoity Cases,17,crime_15.pdf,crime_16.pdf
October,2025,Crime against Women,Rape,50,crime_15.pdf,crime_16.pdf
October,2025,MMDR & KMMCR,KMMC Rules,2,crime_15.pdf,crime_16.pdf
October,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,815,crime_15.pdf,crime_16.pdf
October,2025,NDPS Cases,NDPS Cases,423,crime_15.pdf,crime_16.pdf
November,2025,Murder,Total Murder,99,crime_16.pdf,crime_17.pdf
November,2025,Crime against Women,Rape,45,crime_16.pdf,crime_17.pdf
November,2025,Cyber Crimes,Cyber Crimes,1186,crime_16.pdf,crime_17.pdf
November,2025,Economic Offences,Economic Offences,554,crime_16.pdf,crime_17.pdf
November,2025,MMDR & KMMCR,MMDR Act,6,crime_16.pdf,crime_17.pdf
November,2025,MMDR & KMMCR,KMMC Rules,1,crime_16.pdf,crime_17.pdf
December,2025,Murder,Murder for gain,2,crime_1.pdf,crime_17.pdf
December,2025,Dacoity,Dacoity Cases,14,crime_1.pdf,crime_17.pdf
December,2025,Robbery,Chain Snatching,42,crime_1.pdf,crime_17.pdf
December,2025,Burglary,Burglary Day,105,crime_1.pdf,crime_17.pdf
December,2025,Crime against Women,Rape,41,crime_1.pdf,crime_17.pdf
December,2025,Cyber Crimes,Cyber Crimes,1286,crime_1.pdf,crime_17.pdf
December,2025,Economic Offences,Economic Offences,710,crime_1.pdf,crime_17.pdf
December,2025,MMDR & KMMCR,KMMC Rules,3,crime_1.pdf,crime_17.pdf
December,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,795,crime_1.pdf,crime_17.pdf
August,2025.0,Security Cases,Security Cases,3932,crime_14.pdf,crime_14.pdf
August,2025.0,Security Cases,Total,6865,crime_14.pdf,crime_14.pdf
September,2025.0,Security Cases,Security Cases,1028,crime_14.pdf,crime_14.pdf
September,2025.0,Security Cases,Total,1786,crime_14.pdf,crime_14.pdf
January,2026,Murder,Murder for gain,5,crime_1.pdf,crime_2.pdf
January,2026,Dacoity,Dacoity Cases,6,crime_1.pdf,crime_2.pdf
January,2026,Burglary,Total,441,crime_1.pdf,crime_2.pdf
January,2026,Crime against Women,Rape,45,crime_1.pdf,crime_2.pdf
January,2026,Cyber Crimes,Cyber Crimes,1259,crime_1.pdf,crime_2.pdf
January,2026,MMDR & KMMCR,MMDR Act,11,crime_1.pdf,crime_2.pdf
February,2026,Robbery,Chain Snatching,33,crime_2.pdf,crime_3.pdf
February,2026,Riots,Riots,268,crime_2.pdf,crime_3.pdf
February,2026,Hurt,Cases of Hurt,1418,crime_2.pdf,crime_3.pdf
February,2026,Crime against Women,Rape,41,crime_2.pdf,crime_3.pdf
February,2026,Crime against Women,Dowry Death,5,crime_2.pdf,crime_3.pdf
February,2026,MMDR & KMMCR,MMDR Act,0,crime_2.pdf,crime_3.pdf
February,2026,MMDR & KMMCR,KMMC Rules,1,crime_2.pdf,crime_3.pdf
February,2026,Motor Vehicles Theft,Motor Vehicles Theft Cases,683,crime_2.pdf,crime_3.pdf
February,2026,NDPS Cases,NDPS Cases,980,crime_2.pdf,crime_3.pdf
March,2026,Murder,Murder for gain,1,crime_3.pdf,crime_4.pdf
March,2026,Robbery,Total Robbery,102,crime_3.pdf,crime_4.pdf
March,2026,Burglary,Total,345,crime_3.pdf,crime_4.pdf
March,2026,Crime against Women,Dowry Death,18,crime_3.pdf,crime_4.pdf
March,2026,MMDR & KMMCR,MMDR Act,5,crime_3.pdf,crime_4.pdf
March,2026,MMDR & KMMCR,KMMC Rules,2,crime_3.pdf,crime_4.pdf
March,2026,Motor Vehicles Theft,Motor Vehicles Theft Cases,755,crime_3.pdf,crime_4.pdf
April,2026,Murder,Other Murders,77,crime_4.pdf,crime_5.pdf
April,2026,Burglary,Burglary Day,74,crime_4.pdf,crime_5.pdf
April,2026,Crime against Women,Dowry Death,15,crime_4.pdf,crime_5.pdf
April,2026,MMDR & KMMCR,MMDR Act,2,crime_4.pdf,crime_5.pdf
April,2026,MMDR & KMMCR,KMMC Rules,3,crime_4.pdf,crime_5.pdf
April,2026,NDPS Cases,NDPS Cases,940,crime_4.pdf,crime_5.pdf
November,October,Burglary,Burglary Day,92,crime_41.pdf,crime_41.pdf
