Month,Year,Crime_Category,Subcategory,Cases,Source_File,Page_Number,Table_Number
April,2022,MMDR & KMMCR,MMDR Act,9,crime_34.pdf,69,1
April,2022,MMDR & KMMCR,KMMC Rules,10,crime_34.pdf,69,1
April,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,950,crime_34.pdf,70,1
April,2022,NDPS Cases,NDPS Cases,314,crime_34.pdf,71,1
May,2022,Murder,Murder for gain,4,crime_35.pdf,3,1
May,2022,Murder,Other Murders,125,crime_35.pdf,3,1
May,2022,Murder,Total Murder,129,crime_35.pdf,3,1
May,2022,Dacoity,Dacoity Cases,22,crime_35.pdf,4,1
May,2022,Robbery,Chain Snatching,60,crime_35.pdf,5,1
May,2022,Robbery,Robbery (Except Chain Snatching),83,crime_35.pdf,5,1
May,2022,Robbery,Total Robbery,143,crime_35.pdf,5,1
May,2022,Burglary,Burglary Night,389,crime_35.pdf,6,1
May,2022,Burglary,Burglary Day,83,crime_35.pdf,6,1
May,2022,Burglary,Total,472,crime_35.pdf,6,1
May,2022,Theft,Reported,1874,crime_35.pdf,7,1
May,2022,Riots,Riots,351,crime_35.pdf,8,1
May,2022,Hurt,Cases of Hurt,1306,crime_35.pdf,9,1
May,2022,Special & Local Laws,Special & Local Laws,5699,crime_35.pdf,10,1
May,2022,Crime against Women,Rape,44,crime_35.pdf,11,1
May,2022,Crime against Women,Dowry Death,14,crime_35.pdf,11,1
May,2022,POCSO,POCSO,266,crime_35.pdf,12,1
May,2022,SC/ST POA Act,SC/ST POA Act,175,crime_35.pdf,13,1
May,2022,Cyber Crimes,Cyber Crimes,914,crime_35.pdf,15,1
May,2022,Economic Offences,Economic Offences,371,crime_35.pdf,16,1
May,2022,MMDR & KMMCR,MMDR Act,9,crime_35.pdf,17,1
May,2022,MMDR & KMMCR,KMMC Rules,9,crime_35.pdf,17,1
May,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,1053,crime_35.pdf,18,1
May,2022,NDPS Cases,NDPS Cases,573,crime_35.pdf,19,1
June,2022,Murder,Murder for gain,3,crime_36.pdf,3,1
June,2022,Murder,Other Murders,118,crime_36.pdf,3,1
June,2022,Murder,Total Murder,121,crime_36.pdf,3,1
June,2022,Dacoity,Dacoity Cases,22,crime_36.pdf,4,1
June,2022,Robbery,Chain Snatching,79,crime_36.pdf,5,1
June,2022,Robbery,Robbery (Except Chain Snatching),74,crime_36.pdf,5,1
June,2022,Robbery,Total Robbery,153,crime_36.pdf,5,1
June,2022,Burglary,Burglary Night,363,crime_36.pdf,6,1
June,2022,Burglary,Burglary Day,72,crime_36.pdf,6,1
June,2022,Burglary,Total,435,crime_36.pdf,6,1
June,2022,Theft,Reported,1937,crime_36.pdf,7,1
June,2022,Riots,Riots,349,crime_36.pdf,8,1
June,2022,Hurt,Cases of Hurt,1380,crime_36.pdf,9,1
June,2022,Special & Local Laws,Special & Local Laws,4602,crime_36.pdf,10,1
June,2022,Crime against Women,Rape,48,crime_36.pdf,11,1
June,2022,Crime against Women,Dowry Death,18,crime_36.pdf,11,1
June,2022,POCSO,POCSO,293,crime_36.pdf,12,1
June,2022,SC/ST POA Act,SC/ST POA Act,198,crime_36.pdf,13,1
June,2022,Cyber Crimes,Cyber Crimes,964,crime_36.pdf,15,1
June,2022,Economic Offences,Economic Offences,610,crime_36.pdf,16,1
June,2022,MMDR & KMMCR,MMDR Act,8,crime_36.pdf,17,1
June,2022,MMDR & KMMCR,KMMC Rules,2,crime_36.pdf,17,1
June,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,1162,crime_36.pdf,18,1
June,2022,NDPS Cases,NDPS Cases,659,crime_36.pdf,19,1
July,2022,Murder,Murder for gain,7,crime_37.pdf,3,1
July,2022,Murder,Other Murders,119,crime_37.pdf,3,1
July,2022,Murder,Total Murder,126,crime_37.pdf,3,1
July,2022,Dacoity,Dacoity Cases,24,crime_37.pdf,4,1
July,2022,Robbery,Chain Snatching,69,crime_37.pdf,5,1
July,2022,Robbery,Robbery (Except Chain Snatching),122,crime_37.pdf,5,1
July,2022,Robbery,Total Robbery,191,crime_37.pdf,5,1
July,2022,Burglary,Burglary Night,388,crime_37.pdf,6,1
July,2022,Burglary,Burglary Day,85,crime_37.pdf,6,1
July,2022,Burglary,Total,473,crime_37.pdf,6,1
July,2022,Theft,Reported,1955,crime_37.pdf,7,1
July,2022,Riots,Riots,291,crime_37.pdf,8,1
July,2022,Hurt,Cases of Hurt,1147,crime_37.pdf,9,1
July,2022,Special & Local Laws,Special & Local Laws,4844,crime_37.pdf,10,1
July,2022,Crime against Women,Rape,52,crime_37.pdf,11,1
July,2022,Crime against Women,Dowry Death,16,crime_37.pdf,11,1
July,2022,POCSO,POCSO,251,crime_37.pdf,12,1
July,2022,SC/ST POA Act,SC/ST POA Act,121,crime_37.pdf,13,1
July,2022,Cyber Crimes,Cyber Crimes,1156,crime_37.pdf,15,1
July,2022,Economic Offences,Economic Offences,629,crime_37.pdf,16,1
July,2022,MMDR & KMMCR,MMDR Act,4,crime_37.pdf,17,1
July,2022,MMDR & KMMCR,KMMC Rules,6,crime_37.pdf,17,1
July,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,1150,crime_37.pdf,18,1
July,2022,NDPS Cases,NDPS Cases,554,crime_37.pdf,19,1
August,2022,Murder,Murder for gain,3,crime_38.pdf,3,1
August,2022,Murder,Other Murders,84,crime_38.pdf,3,1
August,2022,Murder,Total Murder,87,crime_38.pdf,3,1
August,2022,Dacoity,Dacoity Cases,13,crime_38.pdf,4,1
August,2022,Robbery,Chain Snatching,61,crime_38.pdf,5,1
August,2022,Robbery,Robbery (Except Chain Snatching),105,crime_38.pdf,5,1
August,2022,Robbery,Total Robbery,166,crime_38.pdf,5,1
August,2022,Burglary,Burglary Night,421,crime_38.pdf,6,1
August,2022,Burglary,Burglary Day,104,crime_38.pdf,6,1
August,2022,Burglary,Total,525,crime_38.pdf,6,1
August,2022,Theft,Reported,1861,crime_38.pdf,7,1
August,2022,Riots,Riots,277,crime_38.pdf,8,1
August,2022,Hurt,Cases of Hurt,1191,crime_38.pdf,9,1
August,2022,Special & Local Laws,Special & Local Laws,4562,crime_38.pdf,10,1
August,2022,Crime against Women,Rape,43,crime_38.pdf,11,1
August,2022,Crime against Women,Dowry Death,11,crime_38.pdf,11,1
August,2022,POCSO,POCSO,225,crime_38.pdf,12,1
August,2022,SC/ST POA Act,SC/ST POA Act,140,crime_38.pdf,13,1
August,2022,Cyber Crimes,Cyber Crimes,1111,crime_38.pdf,15,1
August,2022,Economic Offences,Economic Offences,556,crime_38.pdf,16,1
August,2022,MMDR & KMMCR,MMDR Act,9,crime_38.pdf,17,1
August,2022,MMDR & KMMCR,KMMC Rules,3,crime_38.pdf,17,1
August,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,1077,crime_38.pdf,18,1
August,2022,NDPS Cases,NDPS Cases,689,crime_38.pdf,19,1
September,2022,Murder,Murder for gain,7,crime_39.pdf,3,1
September,2022,Murder,Other Murders,101,crime_39.pdf,3,1
September,2022,Murder,Total Murder,108,crime_39.pdf,3,1
September,2022,Dacoity,Dacoity Cases,14,crime_39.pdf,4,1
September,2022,Robbery,Chain Snatching,59,crime_39.pdf,5,1
September,2022,Robbery,Robbery (Except Chain Snatching),102,crime_39.pdf,5,1
September,2022,Robbery,Total Robbery,161,crime_39.pdf,5,1
