Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
July,2023,Murder,Murder for gain,0,3,crime_24_page_03_table_01.csv | crime_37_page_03_table_01.csv | crime_38_page_03_table_01.csv
February,2024,Murder,Murder for gain,2,3,crime_19_page_03_table_01.csv | crime_20_page_03_table_01.csv | crime_7_page_03_table_01.csv
August,2023,Riots,Riots,333,3,crime_25_page_08_table_01.csv | crime_38_page_08_table_01.csv | crime_39_page_08_table_01.csv
April,2023,MMDR & KMMCR,KMMC Rules,6,3,crime_34_page_17_table_01.csv | crime_34_page_69_table_01.csv | crime_35_page_17_table_01.csv
April,2023,MMDR & KMMCR,MMDR Act,10,3,crime_34_page_17_table_01.csv | crime_34_page_69_table_01.csv | crime_35_page_17_table_01.csv
February,2024,NDPS Cases,NDPS Cases,275,3,crime_19_page_19_table_01.csv | crime_20_page_19_table_01.csv | crime_7_page_19_table_01.csv
April,2023,Murder,Murder for gain,2,3,crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv | crime_35_page_03_table_01.csv
April,2023,Murder,Other Murders,100,3,crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv | crime_35_page_03_table_01.csv
April,2023,Murder,Total Murder,102,3,crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv | crime_35_page_03_table_01.csv
July,2024,MMDR & KMMCR,KMMC Rules,3,3,crime_12_page_17_table_01.csv | crime_24_page_17_table_01.csv | crime_25_page_17_table_01.csv
July,2024,MMDR & KMMCR,MMDR Act,2,3,crime_12_page_17_table_01.csv | crime_24_page_17_table_01.csv | crime_25_page_17_table_01.csv
July,2024,Murder,Murder for gain,1,3,crime_12_page_03_table_01.csv | crime_24_page_03_table_01.csv | crime_25_page_03_table_01.csv
February,2025,Crime against Women,Dowry Death,9,3,crime_2_page_11_table_01.csv | crime_7_page_11_table_01.csv | crime_8_page_11_table_01.csv
July,2023,MMDR & KMMCR,KMMC Rules,2,3,crime_24_page_17_table_01.csv | crime_37_page_17_table_01.csv | crime_38_page_17_table_01.csv
January,2024,MMDR & KMMCR,KMMC Rules,6,3,crime_18_page_17_table_01.csv | crime_19_page_17_table_01.csv | crime_6_page_17_table_01.csv
February,2023,Crime against Women,Dowry Death,9,3,crime_19_page_11_table_01.csv | crime_32_page_11_table_01.csv | crime_33_page_11_table_01.csv
February,2025,MMDR & KMMCR,KMMC Rules,3,3,crime_2_page_17_table_01.csv | crime_7_page_17_table_01.csv | crime_8_page_17_table_01.csv
August,2024,MMDR & KMMCR,KMMC Rules,2,3,crime_13_page_17_table_01.csv | crime_25_page_17_table_01.csv | crime_26_page_17_table_01.csv
February,2025,MMDR & KMMCR,MMDR Act,4,3,crime_2_page_17_table_01.csv | crime_7_page_17_table_01.csv | crime_8_page_17_table_01.csv
