Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
November,2023,Hurt,Cases of Hurt,1360,1352,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Special & Local Laws,Special & Local Laws,5689,5635,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Crime against Women,Rape,52,51,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Crime against Women,Dowry Death,15,14,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,POCSO,POCSO,321,262,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,SC/ST POA Act,SC/ST POA Act,164,163,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Cyber Crimes,Cyber Crimes,2067,2065,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,MMDR & KMMCR,KMMC Rules,3,2,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1104,1103,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
December,2023,Murder,Murder for gain,4,6,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Murder,Other Murders,118,116,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Dacoity,Dacoity Cases,17,19,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Robbery,Chain Snatching,70,71,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Robbery,Robbery (Except Chain Snatching),122,119,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Robbery,Total Robbery,192,190,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Theft,Reported,2234,2231,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Riots,Riots,301,299,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Hurt,Cases of Hurt,1391,1405,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Special & Local Laws,Special & Local Laws,5311,5342,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Crime against Women,Rape,57,56,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Crime against Women,Dowry Death,6,7,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,POCSO,POCSO,400,427,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,SC/ST POA Act,SC/ST POA Act,196,193,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Cyber Crimes,Cyber Crimes,2034,2036,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Economic Offences,Economic Offences,716,720,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1131,1134,crime_30.pdf,crime_18.pdf,Updated in latest report
December,2023,NDPS Cases,NDPS Cases,512,513,crime_30.pdf,crime_18.pdf,Updated in latest report
January,2023.0,Security Cases,Security Cases,2541 | 2491,2533,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023.0,Security Cases,Total,3851 | 3795,3843,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
February,2023.0,Security Cases,Security Cases,5588 | 5508,5565,crime_33.pdf,crime_19.pdf | crime_32.pdf,Updated in latest report
February,2023.0,Security Cases,Total,9864 | 9690,9800,crime_33.pdf,crime_19.pdf | crime_32.pdf,Updated in latest report
March,2023.0,Security Cases,Security Cases,5710 | 5646 | 5688,5688,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023.0,Security Cases,Total,9715 | 9622 | 9685,9685,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
April,2023.0,Security Cases,Security Cases,2456 | 2346,2375,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023.0,Security Cases,Total,4654 | 4503,4559,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
May,2023.0,Security Cases,Security Cases,1357 | 1274,1299,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023.0,Security Cases,Total,1661 | 1565,1595,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
June,2023.0,Security Cases,Security Cases,1670 | 1601,1632,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023.0,Security Cases,Total,2469 | 2382,2415,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
July,2023.0,Security Cases,Security Cases,1521 | 1462,1477,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023.0,Security Cases,Total,2397 | 2303,2336,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
August,2023.0,Security Cases,Security Cases,1706 | 1676,1686,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023.0,Security Cases,Total,2818 | 2778,2791,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
September,2023.0,Security Cases,Security Cases,3183 | 3129,3157,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023.0,Security Cases,Total,4968 | 4890,4933,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
October,2023.0,Security Cases,Security Cases,1266 | 1231,1250,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023.0,Security Cases,Total,3004 | 2948,2983,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
November,2023.0,Security Cases,Security Cases,2320,2285,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
November,2023.0,Security Cases,Total,5951,3605,crime_41.pdf,crime_28.pdf | crime_29.pdf,Updated in latest report
January,2024,Murder,Other Murders,76 | 78,80,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Murder,Total Murder,79 | 81,83,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Dacoity,Dacoity Cases,17 | 18,19,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Robbery,Chain Snatching,54 | 50,51,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Robbery,Robbery (Except Chain Snatching),120 | 126,124,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Robbery,Total Robbery,174 | 176,175,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Burglary,Burglary Night,415 | 408,408,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Burglary,Burglary Day,101 | 106,104,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Burglary,Total,516 | 514,512,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Theft,Reported,1942 | 1943,1946,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Riots,Riots,301 | 299,298,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Hurt,Cases of Hurt,1387 | 1369,1367,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Special & Local Laws,Special & Local Laws,4734 | 4670,4702,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Crime against Women,Rape,53 | 50,51,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Crime against Women,Dowry Death,5 | 6,6,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,POCSO,POCSO,348 | 295,323,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,SC/ST POA Act,SC/ST POA Act,200 | 206,208,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Cyber Crimes,Cyber Crimes,1948 | 1903,1904,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,Economic Offences,Economic Offences,678 | 679,677,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024,NDPS Cases,NDPS Cases,282 | 281,281,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
February,2024,Murder,Other Murders,117 | 110,115,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Murder,Total Murder,119 | 112,117,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Robbery,Chain Snatching,68 | 67,67,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Robbery,Robbery (Except Chain Snatching),103 | 110,108,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Robbery,Total Robbery,171 | 177,175,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Burglary,Burglary Night,354 | 348,350,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Burglary,Burglary Day,99 | 100,99,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Burglary,Total,453 | 448,449,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Theft,Reported,2006 | 2010,2008,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Riots,Riots,289 | 288,291,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Hurt,Cases of Hurt,1478 | 1465,1456,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Special & Local Laws,Special & Local Laws,4809 | 4742,4776,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Crime against Women,Rape,58 | 40,43,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Crime against Women,Dowry Death,14 | 13,14,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,POCSO,POCSO,324 | 278,309,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,SC/ST POA Act,SC/ST POA Act,208 | 204,208,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Cyber Crimes,Cyber Crimes,2040 | 2004,2004,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Economic Offences,Economic Offences,665 | 672,671,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,MMDR & KMMCR,MMDR Act,8,7,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1028 | 1025,1025,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
March,2024,Murder,Other Murders,103 | 104,105,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Murder,Total Murder,105 | 106,107,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Dacoity,Dacoity Cases,16 | 18,18,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Robbery,Chain Snatching,64 | 63,63,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Robbery,Robbery (Except Chain Snatching),115 | 117,119,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Robbery,Total Robbery,179 | 180,182,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Burglary,Burglary Night,320 | 316,317,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Burglary,Total,400 | 396,397,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Theft,Reported,2121 | 2126,2124,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Riots,Riots,337 | 331,335,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Hurt,Cases of Hurt,1652 | 1642,1636,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Special & Local Laws,Special & Local Laws,6066 | 5968,6014,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Crime against Women,Rape,63 | 52,53,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,POCSO,POCSO,345 | 278,309,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,SC/ST POA Act,SC/ST POA Act,209 | 205,211,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Cyber Crimes,Cyber Crimes,1977 | 1939,1939,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,Economic Offences,Economic Offences,637 | 643,641,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024,MMDR & KMMCR,MMDR Act,12 | 10,11,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
April,2024,Murder,Other Murders,121 | 119,122,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Murder,Total Murder,124 | 122,125,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Dacoity,Dacoity Cases,10 | 12,14,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Robbery,Chain Snatching,54 | 51,52,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Robbery,Robbery (Except Chain Snatching),96 | 101,98,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Robbery,Total Robbery,150 | 152,150,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Burglary,Burglary Night,325 | 315,318,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Burglary,Burglary Day,73 | 78,76,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Burglary,Total,398 | 393,394,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Theft,Reported,1760 | 1765,1763,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Riots,Riots,340 | 352,346,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Hurt,Cases of Hurt,1648 | 1606,1613,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Special & Local Laws,Special & Local Laws,5013 | 4914,4963,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Crime against Women,Rape,57 | 49,51,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Crime against Women,Dowry Death,10 | 8,9,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,POCSO,POCSO,355 | 277,317,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,SC/ST POA Act,SC/ST POA Act,191 | 186,190,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024,Cyber Crimes,Cyber Crimes,1603 | 1574,2284,crime_23.pdf,crime_9.pdf | crime_21.pdf | crime_22.pdf,Updated in latest report
April,2024,Economic Offences,Economic Offences,451 | 460,459,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
May,2024,Murder,Other Murders,100 | 108,110,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Murder,Total Murder,105 | 113,115,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Dacoity,Dacoity Cases,9 | 8,8,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Robbery,Robbery (Except Chain Snatching),121 | 124,125,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Robbery,Total Robbery,179 | 182,183,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Burglary,Burglary Night,399 | 391,395,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Burglary,Burglary Day,104 | 103,104,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Burglary,Total,503 | 494,499,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Theft,Reported,2119 | 2128,2121,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Riots,Riots,398 | 397,404,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Hurt,Cases of Hurt,1850 | 1826,1818,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Special & Local Laws,Special & Local Laws,4921 | 4777,4862,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Crime against Women,Rape,88 | 80,81,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Crime against Women,Dowry Death,11 | 9,10,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,POCSO,POCSO,404 | 294,363,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,SC/ST POA Act,SC/ST POA Act,173 | 170,175,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Cyber Crimes,Cyber Crimes,2341 | 2281,2019,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Economic Offences,Economic Offences,574 | 584,577,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,MMDR & KMMCR,MMDR Act,0 | 6,6,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1123 | 1120,1121,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
June,2024,Murder,Murder for gain,2 | 0,1,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Murder,Other Murders,90 | 89,91,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Murder,Total Murder,92 | 89,92,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Dacoity,Dacoity Cases,11,10,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Robbery,Chain Snatching,63 | 58,61,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Robbery,Robbery (Except Chain Snatching),91 | 99,98,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Robbery,Total Robbery,154 | 157,159,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Burglary,Burglary Night,415 | 407,413,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Burglary,Burglary Day,154 | 106,107,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Burglary,Total,569 | 513,520,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Theft,Reported,2020 | 2026,2020,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Riots,Riots,362 | 363,364,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Hurt,Cases of Hurt,1483 | 1472,1465,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Special & Local Laws,Special & Local Laws,5113 | 5013,5062,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Crime against Women,Rape,63 | 55,55,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,POCSO,POCSO,342 | 280,318,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,SC/ST POA Act,SC/ST POA Act,152 | 148,148,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Cyber Crimes,Cyber Crimes,2059,2021,crime_24.pdf,crime_11.pdf,Updated in latest report
June,2024,Economic Offences,Economic Offences,709 | 716,715,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,MMDR & KMMCR,MMDR Act,9 | 10,10,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1085 | 1081,1081,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024,NDPS Cases,NDPS Cases,321 | 322,321,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
July,2024,Murder,Other Murders,91 | 84,91,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Murder,Total Murder,92 | 85,92,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Dacoity,Dacoity Cases,21,19,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Robbery,Chain Snatching,54 | 49,49,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Robbery,Robbery (Except Chain Snatching),68 | 72,72,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Robbery,Total Robbery,122 | 121,121,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Burglary,Burglary Night,432 | 427,431,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Burglary,Burglary Day,77 | 74,76,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Burglary,Total,509 | 501,507,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Theft,Reported,1994 | 1953,1951,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Riots,Riots,240 | 230,231,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Hurt,Cases of Hurt,1185 | 1166,1166,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Special & Local Laws,Special & Local Laws,5007 | 4927,4986,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Crime against Women,Rape,67 | 58,57,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Crime against Women,Dowry Death,10 | 9,8,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,POCSO,POCSO,335 | 285,316,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,SC/ST POA Act,SC/ST POA Act,161,167,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Cyber Crimes,Cyber Crimes,2117 | 2060,2062,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Economic Offences,Economic Offences,665 | 668,666,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1068 | 1062,1066,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
August,2024,Murder,Murder for gain,4 | 5,4,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Murder,Other Murders,87 | 89,91,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Murder,Total Murder,91 | 94,95,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Dacoity,Dacoity Cases,14,13,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Robbery,Chain Snatching,51 | 54,54,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Robbery,Robbery (Except Chain Snatching),66 | 67,65,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Robbery,Total Robbery,117 | 121,119,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Burglary,Burglary Night,322 | 320,320,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Burglary,Burglary Day,110 | 109,109,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Burglary,Total,432 | 429,429,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Theft,Reported,1802 | 1751,1803,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Riots,Riots,222 | 230,228,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Hurt,Cases of Hurt,1260 | 1246,1246,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Special & Local Laws,Special & Local Laws,5103 | 5026,5078,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Crime against Women,Rape,61 | 54,51,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Crime against Women,Dowry Death,9 | 10,10,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,POCSO,POCSO,354 | 296,336,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,SC/ST POA Act,SC/ST POA Act,168 | 163,172,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Cyber Crimes,Cyber Crimes,1823 | 1774,1774,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Economic Offences,Economic Offences,580 | 583,580,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,MMDR & KMMCR,MMDR Act,2 | 3,3,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,940 | 942,941,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024,NDPS Cases,NDPS Cases,437 | 436,436,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
September,2024,Murder,Other Murders,90 | 91,93,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Murder,Total Murder,92 | 93,95,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Dacoity,Dacoity Cases,11 | 9,10,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Robbery,Chain Snatching,38 | 34,37,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Robbery,Robbery (Except Chain Snatching),54 | 60,57,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Robbery,Total Robbery,92 | 94,94,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Burglary,Burglary Night,284 | 280,283,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Burglary,Burglary Day,97 | 47 | 93,94,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Burglary,Total,381 | 373,377,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Theft,Reported,1747 | 1759,1756,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Riots,Riots,284 | 277,280,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Hurt,Cases of Hurt,1334 | 1315,1312,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Special & Local Laws,Special & Local Laws,4525 | 4448,4478,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Crime against Women,Rape,58 | 52,51,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Crime against Women,Dowry Death,15 | 13,14,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,POCSO,POCSO,339 | 286,314,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
