Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
March,2023,Dacoity,Dacoity Cases,22 | 20,22,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Robbery,Chain Snatching,58 | 56,56,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Robbery,Robbery (Except Chain Snatching),77 | 83,83,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Robbery,Total Robbery,135 | 139,139,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Burglary,Burglary Night,309 | 297 | 302,302,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Burglary,Burglary Day,80 | 84,84,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Burglary,Total,389 | 381 | 386,386,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Theft,Reported,1651 | 1661 | 1656,1656,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Riots,Riots,350 | 336 | 335,335,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Hurt,Cases of Hurt,1497 | 1490 | 1488,1488,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Special & Local Laws,Special & Local Laws,7434 | 7331 | 7369,7369,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Crime against Women,Rape,47 | 44 | 46,46,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,POCSO,POCSO,300 | 235 | 270,270,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,SC/ST POA Act,SC/ST POA Act,163 | 157 | 158,158,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Cyber Crimes,Cyber Crimes,1617 | 1615,1615,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Economic Offences,Economic Offences,559 | 560 | 562,562,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,MMDR & KMMCR,MMDR Act,14 | 10,10,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
March,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,905 | 907 | 906,906,crime_34.pdf,crime_20.pdf | crime_33.pdf | crime_34.pdf,Updated in latest report
April,2023,Murder,Murder for gain,3 | 2,2,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Murder,Other Murders,96 | 100,100,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Murder,Total Murder,99 | 102,102,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Dacoity,Dacoity Cases,9 | 10,11,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Robbery,Chain Snatching,41 | 39,41,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Robbery,Robbery (Except Chain Snatching),71 | 75,74,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Robbery,Total Robbery,112 | 114,115,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Burglary,Burglary Night,272 | 266,269,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Burglary,Burglary Day,69,70,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Burglary,Total,341 | 335,339,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Theft,Reported,1547 | 1560,1554,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Riots,Riots,295 | 293,294,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Hurt,Cases of Hurt,1359 | 1355,1352,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Special & Local Laws,Special & Local Laws,5822 | 5745,5783,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Crime against Women,Rape,45 | 46,46,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Crime against Women,Dowry Death,14 | 11,11,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,POCSO,POCSO,304 | 256,283,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,SC/ST POA Act,SC/ST POA Act,147 | 140,145,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Cyber Crimes,Cyber Crimes,1710,1709,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Economic Offences,Economic Offences,465 | 466,465,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,MMDR & KMMCR,MMDR Act,12 | 10,10,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,MMDR & KMMCR,KMMC Rules,8 | 6,6,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
April,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,880 | 877,878,crime_35.pdf,crime_21.pdf | crime_34.pdf,Updated in latest report
May,2023,Murder,Murder for gain,3 | 2,3,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Murder,Other Murders,107 | 102,105,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Murder,Total Murder,110 | 104,108,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Dacoity,Dacoity Cases,12 | 11,11,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Robbery,Chain Snatching,58 | 55,56,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Robbery,Robbery (Except Chain Snatching),89 | 98,97,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Robbery,Total Robbery,147 | 153,153,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Burglary,Burglary Night,396 | 391,394,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Burglary,Burglary Day,82 | 81,80,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Burglary,Total,478 | 472,474,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Theft,Reported,1717 | 1723,1721,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Riots,Riots,381 | 379,378,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Hurt,Cases of Hurt,1514 | 1506,1497,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Special & Local Laws,Special & Local Laws,4510 | 4409,4461,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Crime against Women,Rape,49 | 47,47,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Crime against Women,Dowry Death,14 | 13,14,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,POCSO,POCSO,326 | 249,294,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,SC/ST POA Act,SC/ST POA Act,151 | 145,150,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Cyber Crimes,Cyber Crimes,1572 | 1762 | 1570,1570,crime_36.pdf,crime_22.pdf | crime_23.pdf | crime_35.pdf,Updated in latest report
May,2023,Economic Offences,Economic Offences,369 | 371,371,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,MMDR & KMMCR,MMDR Act,9 | 7,7,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
May,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,932 | 935,935,crime_36.pdf,crime_22.pdf | crime_35.pdf,Updated in latest report
June,2023,Murder,Murder for gain,3 | 2,3,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Murder,Other Murders,113 | 109,114,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Murder,Total Murder,116 | 111,117,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Dacoity,Dacoity Cases,12 | 15,14,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Robbery,Robbery (Except Chain Snatching),87 | 83,92,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Robbery,Total Robbery,133 | 139,138,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Burglary,Burglary Night,447 | 440,441,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Burglary,Burglary Day,137 | 135,135,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Burglary,Total,584 | 575,576,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
