2026-07-08 15:06:00,805 - PDF name: crime 10.pdf | Page number: 4 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:06:00,847 - PDF name: crime 10.pdf | Page number: 5 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,885 - PDF name: crime 10.pdf | Page number: 6 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,912 - PDF name: crime 10.pdf | Page number: 7 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,949 - PDF name: crime 10.pdf | Page number: 8 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,976 - PDF name: crime 10.pdf | Page number: 9 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,020 - PDF name: crime 10.pdf | Page number: 10 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,056 - PDF name: crime 10.pdf | Page number: 11 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,084 - PDF name: crime 10.pdf | Page number: 12 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,114 - PDF name: crime 10.pdf | Page number: 13 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,370 - PDF name: crime 10.pdf | Page number: 14 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,441 - PDF name: crime 10.pdf | Page number: 15 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,490 - PDF name: crime 10.pdf | Page number: 16 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,525 - PDF name: crime 10.pdf | Page number: 17 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,552 - PDF name: crime 10.pdf | Page number: 18 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,594 - PDF name: crime 10.pdf | Page number: 19 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:01,954 - PDF name: crime 10.pdf | Page number: 20 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:02,065 - PDF name: crime 10.pdf | Page number: 21 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:02,183 - PDF name: crime 10.pdf | Page number: 22 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:02,318 - PDF name: crime 10.pdf | Page number: 23 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:02,460 - PDF name: crime 10.pdf | Page number: 24 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:02,696 - PDF name: crime 10.pdf | Page number: 25 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:02,920 - PDF name: crime 10.pdf | Page number: 26 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:03,104 - PDF name: crime 10.pdf | Page number: 27 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:03,274 - PDF name: crime 10.pdf | Page number: 28 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:03,432 - PDF name: crime 10.pdf | Page number: 29 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:03,680 - PDF name: crime 10.pdf | Page number: 30 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:03,784 - PDF name: crime 10.pdf | Page number: 31 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:03,916 - PDF name: crime 10.pdf | Page number: 32 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,065 - PDF name: crime 10.pdf | Page number: 33 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,168 - PDF name: crime 10.pdf | Page number: 34 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,268 - PDF name: crime 10.pdf | Page number: 35 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,349 - PDF name: crime 10.pdf | Page number: 36 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,412 - PDF name: crime 10.pdf | Page number: 37 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,435 - PDF name: crime 10.pdf | Page number: 38 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,469 - PDF name: crime 10.pdf | Page number: 39 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,560 - PDF name: crime 10.pdf | Page number: 40 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:04,824 - PDF name: crime 10.pdf | Page number: 41 | Tables extracted: 1 | Success | Error message: None
