Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",1,0,1,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),44,2,5,4
4,Kidnapping & Abduction of Children,2238,302,338,373
4.1,For Ransom - of Children,7,1,0,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,3,0,1,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,15,1,1,2
,Sub Total,2263,304,340,375
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,124,14,13,12
7,POCSO Act,3032,322,336,286
8,Death of Children due to miscarriage,22,2,2,0
9,Juvenile Justice Act,111,20,11,10
10,Child Labour (Pro.& Reg.) Act,90,22,29,5
11,Probation of Offenders Act,1,0,0,1
,Total (Item 1 to 11),5688,686,737,693
