Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,1,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),5,8,2,5
4,Kidnapping & Abduction of Children,374,240,282,374
4.1,For Ransom - of Children,0,1,3,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,0,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,1,1,0,1
,Sub Total,375,242,285,375
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,8,12,11,8
7,POCSO Act,295,258,400,295
8,Death of Children due to miscarriage,3,0,1,3
9,Juvenile Justice Act,9,1,8,9
10,Child Labour (Pro.& Reg.) Act,13,1,11,13
11,Probation of Offenders Act,0,1,0,0
,Total (Item 1 to 11),708,523,719,708
