Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 5,985,1290,309,1836,2145
2,State Highways,261,695,956,274,1298,1572
3,Other Roads,3 69,1246,1615,370,1842,2212
,TOTAL,935,2926,3861,953,4976,5929
