DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF AUGUST - 2023 (AS ON 11/09/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
g
a
B","ari
all
B","y
Cit
vi
a
g
a
el
B","Dist
vi
a
g
a
el
B","y
cit
u
ur
al
g
n
e
B","District
u
ur
al
g
n
e
B","ar
d
Bi","ar
g
a
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
g
a
m
a
k
k
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
g
a
n
a
v
a
D","d
a
w
ar
h
D","g
a
d
a
G","n
a
ass
H","eri
v
a
H","y
Cit
d
a
w
ar
h
D
alli
b
b
u
H","F
G.
K.","gi
a
ur
b
a
al
K","y
Cit
gi
a
ur
b
a
al
K","ys
a
w
ail
R
a
k
a
at
n
ar
K","u
g
a
d
o
K","ar
ol
K","al
p
p
o
K","a
y
d
n
a
M","y
Cit
u
or
o
al
g
n
a
M","y
Cit
u
ur
ys
M","District
u
ur
ys
M","ur
h
aic
R","a
ar
g
a
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
g
a
n
a
y
a
Vij","ur
p
a
y
a
Vij","gir
d
a
Y","al
ot
T"
1,MURDER,2,3,3,4,12,10,1,0,1,4,1,1,2,0,2,5,0,1,1,1,1,0,2,4,2,5,1,2,3,4,3,6,4,0,0,0,10,1,102
2,DACOITY,2,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,16
3,ROBBERY,0,1,1,4,92,4,3,0,3,0,1,2,5,0,2,2,1,1,0,0,4,2,1,2,2,3,1,1,4,0,1,4,4,0,3,0,1,0,155
3a,CHAIN SNATCHING,0,0,1,1,8,8,2,1,3,0,4,0,1,0,0,1,1,0,0,0,0,1,0,2,0,4,0,1,1,0,1,0,1,0,0,0,0,0,42
4a,BURGLARY - DAY,7,4,3,3,33,9,5,1,2,4,2,4,3,1,1,6,2,1,1,2,4,0,1,3,2,2,1,0,2,2,5,2,7,3,2,0,4,2,136
4b,BURGLARY - NIGHT,4,5,9,15,107,22,19,6,6,11,14,10,22,8,8,16,18,6,9,12,9,0,11,8,8,16,7,9,25,2,10,17,16,11,10,6,7,2,501
5,THEFT,19,62,20,44,1230,189,40,16,45,38,62,19,86,17,24,48,49,29,15,57,38,76,9,55,36,62,19,46,45,60,53,43,91,12,26,40,30,20,2870
6,RIOTS,4,11,3,20,22,6,10,4,6,6,24,3,15,7,10,10,17,4,4,21,5,0,0,16,11,6,0,0,9,13,3,18,7,5,3,6,13,11,333
7,CASES OF HURT,10,20,2,34,363,69,43,46,49,49,62,18,36,11,5,65,27,16,16,30,18,3,31,40,13,80,11,24,77,22,63,77,86,8,17,9,42,22,1614
8,Spl & Local laws,85,131,29,173,2853,136,171,60,119,145,134,42,129,50,66,135,100,110,62,97,78,6,67,58,91,104,137,69,94,139,84,174,179,62,130,148,115,99,6661
9a,RAPE,1,0,0,1,20,1,0,0,3,1,0,0,2,0,2,1,0,1,0,1,1,0,1,1,1,0,1,0,2,3,0,0,1,2,1,2,0,1,51
9b,DOWRY DEATHS,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,13
10,POCSO,4,6,2,12,57,11,5,4,15,14,17,10,11,0,4,9,8,4,5,7,1,0,8,7,2,8,4,11,17,6,11,25,15,5,7,5,11,5,353
11,SC ST & POA Act,3,1,1,13,30,8,2,4,5,4,6,2,13,1,4,10,2,1,2,6,6,0,1,4,6,7,3,1,4,9,7,14,12,2,0,6,7,6,213
12a,107 Cr.P.C.,27,113,9,149,43,20,71,86,20,45,24,22,20,51,68,78,20,15,12,46,5,0,30,8,44,61,111,16,148,7,15,43,25,25,15,99,44,41,1676
12b,109 Cr.P.C.,10,4,6,12,24,13,18,6,3,2,3,0,9,5,7,7,3,6,0,11,14,21,1,4,5,16,3,3,12,7,2,1,31,5,6,9,13,5,307
12c,110 Cr.P.C.,16,0,9,16,258,0,12,25,0,0,0,7,3,3,5,81,2,27,21,8,4,0,0,1,3,22,32,47,0,11,0,1,116,18,1,34,9,3,795
13,CYBER CRIME,3,7,7,12,1761,63,4,4,22,11,6,7,9,5,5,16,9,55,9,2,3,0,8,9,4,6,13,26,6,2,18,3,36,9,18,3,11,4,2196
14a,Cr. Br. of Trust,0,1,0,1,10,7,1,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,6,0,0,1,39
14b,CHEATING,5,15,9,12,350,49,8,5,17,5,8,9,24,4,3,17,8,9,3,2,7,0,8,6,6,8,15,12,6,4,21,22,19,7,12,14,14,0,743
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
15a,MMDR,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,13
16,"Motor vehicles
Theft Cases",14,36,14,26,674,133,14,5,32,22,24,3,36,14,13,28,25,17,9,19,23,6,2,41,11,30,8,30,24,15,28,17,64,7,14,9,17,1,1505
17,NDPS Cases,0,5,0,3,352,14,2,8,3,29,4,13,3,0,0,4,3,17,8,9,7,6,11,2,0,12,91,8,5,0,12,48,10,16,12,0,4,0,721
