DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JANUARY - 2023 (AS ON 9/02/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
g
a
B","ari
all
B","y
Cit
vi
a
g
a
el
B","Dist
vi
a
g
a
el
B","y
cit
u
ur
al
g
n
e
B","District
u
ur
al
g
n
e
B","ar
d
Bi","ar
g
a
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
g
a
m
a
k
k
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
g
a
n
a
v
a
D","d
a
w
ar
h
D","g
a
d
a
G","n
a
ass
H","eri
v
a
H","y
Cit
d
a
w
ar
h
D
alli
b
b
u
H","F
G.
K.","gi
a
ur
b
a
al
K","y
Cit
gi
a
ur
b
a
al
K","ys
a
w
ail
R
a
k
a
at
n
ar
K","u
g
a
d
o
K","ar
ol
K","al
p
p
o
K","a
y
d
n
a
M","y
Cit
u
or
o
al
g
n
a
M","y
Cit
u
ur
ys
M","District
u
ur
ys
M","ur
h
aic
R","a
ar
g
a
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
g
a
n
a
y
a
Vij","ur
p
a
y
a
Vij","gir
d
a
Y","al
ot
T"
1,MURDER,2,1,0,8,14,6,7,1,1,2,2,1,2,4,0,5,0,0,0,3,2,3,3,4,4,3,1,0,3,1,1,3,4,2,0,3,7,1,104
2,DACOITY,0,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11
3,ROBBERY,3,1,0,3,52,5,1,0,0,1,2,0,3,2,1,3,3,3,0,0,3,0,0,2,1,0,0,2,0,0,1,0,3,1,1,0,0,1,98
3a,CHAIN SNATCHING,0,2,2,2,15,2,0,1,0,3,0,1,1,0,0,1,1,0,0,0,1,1,0,3,2,4,0,5,3,0,2,0,2,0,0,0,0,0,54
4a,BURGLARY - DAY,1,4,2,4,11,0,1,1,3,2,1,0,1,2,0,3,5,0,0,2,1,0,1,0,3,3,1,1,2,1,4,1,3,2,0,2,4,1,73
4b,BURGLARY - NIGHT,8,7,12,16,63,23,13,6,4,9,11,8,11,6,1,6,9,9,4,6,7,0,3,2,6,10,8,8,18,4,10,8,18,11,2,5,14,0,366
5,THEFT,16,15,21,40,643,99,30,8,26,21,19,1,48,9,4,22,22,27,6,20,52,66,7,28,26,36,12,39,31,27,50,30,61,17,13,19,22,13,1646
6,RIOTS,7,3,9,11,5,15,9,10,11,7,27,6,12,2,3,5,23,3,2,9,4,0,0,9,7,3,1,0,7,10,5,15,6,1,5,7,15,7,281
7,CASES OF HURT,18,11,12,30,228,55,57,27,29,45,37,8,19,10,6,90,17,13,12,17,19,4,33,31,17,65,9,24,72,14,56,61,57,7,24,12,23,11,1280
8,Spl & Local laws,78,55,20,160,1532,86,33,29,79,98,62,19,64,37,68,75,31,85,20,29,40,7,29,19,48,49,47,48,70,80,107,122,103,46,58,87,82,38,3740
