Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,6,0,0,1
,Office,10,1,0,0
,Public Conveyance,2,0,0,0
,Public Place,42,6,7,6
,Other Places,55,2,9,6
,Sub Total,115,9,16,13
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,7,1,1,0
,Abetment of Suicide,246,27,22,25
,Other Reasons,282,22,34,25
,Attempt to Commit suicide,131,10,13,19
,Sub Total,666,60,70,69
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,5,0,2,1
,Attempt,0,0,0,0
,Major - Man,3,0,0,0
,Major - Woman,4,0,1,0
,Minor - Boy,2,0,0,1
,Minor - Girl,0,0,0,0
,Sub Total,14,0,3,2
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,19,1,3,2
,To Extort Confession,4,0,0,1
,To Extort Property,15,0,1,1
,To settle Dispute,19,0,0,3
,Others,337,30,32,28
,Sub Total,394,31,36,35
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",43,3,4,6
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,0
,Property,2,0,0,2
,Sub Total,3,0,0,2
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,4,1,0,1
,Printed Matter,1,0,0,0
,Others,1,0,0,0
,Sub Total,6,1,0,1
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,1016,0,1,1
,Parliament,3,0,0,0
,Other Elected Bodies,30,3,0,0
,Sub Total,1049,3,1,1
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
