"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(September-2025)","During the current
Year Upto the month
under review","During the month
under review
(September -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,4071,27446,2095,14584
2,Mysuru City,179,1726,43,772
3,Hubballi Dharwad City,115,1235,61,896
4,Mangaluru City,199,1271,88,892
5,Belagavi City,131,1235,20,459
6,Kalaburagi City,135,1314,50,808
,Central Range,,,,
1,Bengaluru Dist,561,4909,95,954
2,Bengaluru South,296,2724,73,730
3,Tumakuru,494,4429,129,2010
4,Kolar,165,1638,45,387
5,Chickballapura,188,1908,101,1342
6,K.G.F,79,598,36,282
,Eastern Range,,,,
1,Chitradurga,356,3113,77,1314
2,Davanagere,203,2430,55,1091
3,Shivamogga,412,3677,107,1486
4,Haveri,185,1790,88,864
,Western Range,,,,
1,Dakshina Kannada,169,1350,40,279
2,Udupi,178,1708,87,597
3,Chikkamagaluru,181,1957,127,947
4,Uttara Kannada,178,1757,173,1042
,Northern Range,,,,
1,Belagavi Dist,322,3223,156,1467
2,Bagalkot,190,1666,144,1037
3,Vijayapur,215,2307,141,1568
4,Dharwad,82,747,49,447
5,Gadag,72,749,92,942
,North Eastern Range,,,,
1,Kalaburagi,166,1991,39,694
2,Bidar,179,2361,61,887
3,Yadgir,116,1197,54,749
,Southern Range,,,,
1,Mysuru Dist,369,3787,57,694
2,Mandya,395,3438,84,874
3,Chamarajanagar,166,1561,57,687
4,Hassan,393,3589,81,1114
5,Kodagu,147,1284,38,479
,Ballari Range,,,,
1,Ballari,180,1437,121,1348
2,Koppal,149,1489,73,878
3,Raichur,193,2162,77,1039
4,Vijayanagara,137,1409,66,885
,Karnataka Railways,52,506,11,86
,STATE,11998,103118,4991,47611
