DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF OCTOBER - 2023 (AS ON 06/11/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"B
a
g
a
lk
o
t","B
a
lla
ri","B
e
la
g
a
v
i
C
ity","B
e
la
g
a
v
i
D
ist","B
e
n
g
a
lu
ru
city","B
e
n
g
a
lu
ru
D
istrict","B
id
a
r","C
h
a
m
a
ra
ja
n
a
g
a
r","C
h
ick
b
a
lla
p
u
ra","C
h
ik
k
a
m
a
g
a
lu
ru","C
h
itra
d
u
rg
a","D
a
k
sh
in
a
k
a
n
n
a
d
a","D
a
v
a
n
a
g
e
re","D
h
a
rw
a
d","G
a
d
a
g","H
a
ssa
n","H
a
v
e
ri","H
u
b
b
a
lli
D
h
a
rw
a
d
C
ity","K
.G
.F","K
a
la
b
u
ra
g
i","K
a
la
b
u
ra
g
i
C
ity","K
a
rn
a
ta
k
a
R
a
ilw
a
y
s","K
o
d
a
g
u","K
o
la
r","K
o
p
p
a
l","M
a
n
d
y
a","M
a
n
g
a
lo
o
ru
C
ity","M
y
su
ru
C
ity","M
y
su
ru
D
istrict","R
a
ich
u
r","R
a
m
a
n
a
g
a
ra","S
h
iv
a
m
o
g
g
a","T
u
m
a
k
u
ru","U
d
u
p
i","U
tta
ra
k
a
n
n
a
d
a","V
ija
y
a
n
a
g
a
ra","V
ija
y
a
p
u
r","Y
a
d
g
ir","T
o
ta
l"
1,MURDER,3,3,2,6,14,9,0,2,1,2,4,1,1,1,1,2,1,4,0,5,2,1,4,4,3,3,1,3,1,5,2,2,10,3,1,3,2,0,112
2,DACOITY,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,13
3,ROBBERY,1,0,1,1,61,4,0,1,0,0,1,2,4,0,1,0,2,0,1,2,6,0,2,1,1,1,1,2,2,1,1,5,3,4,0,1,2,0,115
3a,CHAIN SNATCHING,2,1,0,3,11,3,0,0,1,0,2,0,0,1,0,4,0,2,1,0,1,4,0,2,1,10,2,0,0,0,2,3,3,2,0,0,1,0,62
4a,BURGLARY - DAY,4,1,1,4,12,10,1,0,1,2,3,2,2,1,0,8,2,2,0,1,2,0,2,0,3,4,3,2,1,1,2,1,7,0,0,0,0,2,87
4b,BURGLARY - NIGHT,8,12,10,14,93,45,13,9,15,12,14,3,13,4,1,12,14,4,2,2,10,1,2,6,5,7,3,2,25,10,16,18,19,9,3,7,6,5,454
5,THEFT,36,40,21,48,1043,163,36,13,22,38,43,19,63,13,22,45,36,19,6,32,37,58,8,38,27,39,26,37,44,64,37,44,71,27,13,22,29,13,2392
6,RIOTS,11,5,6,19,11,9,14,4,14,4,22,1,8,0,4,10,14,2,1,14,6,0,1,7,11,3,1,0,10,21,6,34,5,3,2,13,22,14,332
7,CASES OF HURT,21,17,15,35,329,58,45,28,50,45,76,20,32,10,9,77,37,11,17,26,18,2,24,28,9,71,10,17,79,27,38,56,65,20,26,5,27,19,1499
8,Spl & Local laws,107,123,42,123,2112,192,103,55,109,97,108,34,67,56,81,73,63,115,42,110,71,3,40,25,64,76,124,47,77,105,81,150,143,60,76,68,139,63,5224
9a,RAPE,0,3,0,1,18,4,1,0,0,1,0,1,1,2,0,2,1,1,0,1,2,0,0,0,2,1,1,2,1,2,0,2,1,1,1,1,3,0,57
9b,DOWRY DEATHS,0,1,0,0,2,2,0,1,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
10,POCSO,2,5,0,8,43,7,2,6,16,9,3,13,11,1,4,12,6,2,4,1,5,0,4,3,1,7,5,3,13,9,10,13,13,2,4,8,6,2,263
11,SC ST & POA Act,6,3,4,8,23,7,3,4,9,6,5,2,3,1,3,8,6,5,3,9,4,0,1,3,2,8,3,0,5,12,11,11,4,8,2,1,8,2,203
12a,107 Cr.P.C.,58,41,15,38,20,28,77,24,10,77,38,45,30,37,21,49,14,15,12,53,11,0,21,12,46,19,43,9,95,22,38,24,24,34,26,48,42,15,1231
12b,109 Cr.P.C.,12,3,16,10,37,2,7,1,6,14,2,0,8,7,5,18,0,26,1,8,6,15,0,2,4,13,0,1,5,5,50,1,44,0,9,3,6,2,349
12c,110 Cr.P.C.,14,0,7,13,353,13,2,0,0,14,2,39,23,3,2,279,1,5,10,10,5,0,0,8,2,38,9,50,5,10,370,0,12,47,0,1,14,7,1368
13,CYBER CRIME,4,10,8,11,1709,85,5,6,29,10,5,6,3,5,6,5,13,35,16,5,5,0,11,3,1,3,24,23,6,2,6,12,28,11,3,0,6,3,2123
14a,Cr. Br. of Trust,1,1,0,1,17,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,1,4,2,1,0,0,39
14b,CHEATING,10,6,7,12,351,46,4,4,4,4,5,6,9,3,4,8,6,4,1,5,9,1,3,9,1,5,11,13,3,8,11,14,20,11,12,12,9,11,662
14c,COUNTERFEITING,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3
15a,MMDR,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,17
16,"Motor vehicles
Theft Cases",18,18,14,29,561,119,17,6,11,12,16,5,26,4,8,26,19,12,3,10,27,3,4,14,10,22,6,25,23,18,21,25,45,8,6,9,13,7,1220
17,NDPS Cases,2,4,2,3,36,8,3,2,2,20,6,2,7,3,0,9,1,6,2,2,3,2,8,3,0,0,52,2,1,2,1,6,12,6,1,0,4,1,224
