S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KPA Mysore,38,7,31,
76,KSPTS Channapatna,23,10,13,
77,KSPTS Khanapur,20,1,19,
78,KSRP PTS BELAGAVI,16,15,1,
79,KSRP Training Munirabad,16,16,0,
80,PDMS Yelahanka,24,10,14,
81,PTC Gulbarga,28,2,26,
82,PTS Aimangala,20,9,11,
83,PTS Dharwad,18,10,8,
84,PTS Hassan,19,4,15,
85,PTS Kaduru,17,0,17,
86,PTS Mysuru,21,8,13,
87,PTS Thanisandra,20,2,18,
88,RFSL Ballari,5,0,5,
89,RFSL Belgaum,10,1,9,
90,RFSL Davanagere,8,7,1,
91,RFSL Gulbarga,7,0,7,
92,RFSL Hubballi,5,0,5,
93,RFSL Mangalore,9,2,7,
94,RFSL Mysore,8,3,5,
95,SCRB,38,15,23,
96,Southern Range,6,2,4,
97,SP DCRE Bengaluru City,1,1,0,
98,SP DCRE Central Range,2,0,2,
99,SP DCRE Eastern Range,2,0,2,
100,SP DCRE Northern Range,3,1,2,
101,SP DCRE Southern Range,1,0,1,
102,SP DCRE Western Range,1,1,0,
103,Special Task Force,2,0,2,
104,State Wireless,81,41,40,
105,TTI Bangalore,3,3,0,
106,Western Range,3,0,3,
,Grand Total,12492,8076,4416,
