"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(May -2024)","During the current
Year Upto the month
under review","During the month
under review
(May-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3070,15435,2233,9791
2,Mysuru City,261,1110,61,306
3,Hubballi Dharwad City,161,689,81,407
4,Mangaluru City,223,898,152,668
5,Belagavi City,188,762,26,187
6,Kalaburagi City,167,705,46,232
,Central Range,,,,
1,Bengaluru Dist,683,3184,127,827
2,Ramanagara,777,1725,74,372
3,Tumakuru,527,2749,152,786
4,Kolar,237,962,41,227
5,Chickballapura,261,1156,106,496
6,K.G.F,85,555,27,193
,Eastern Range,,,,
1,Chitradurga,424,1927,86,685
2,Davanagere,272,1386,97,547
3,Shivamogga,432,2020,119,735
4,Haveri,237,1139,64,491
,Western Range,,,,
1,Dakshina Kannada,197,939,33,159
2,Udupi,255,1274,83,321
3,Chikkamagaluru,226,1206,66,407
4,Uttara Kannada,282,1172,53,376
,Northern Range,,,,
1,Belagavi Dist,450,2027,73,597
2,Bagalkot,190,924,69,387
3,Vijayapur,293,1284,76,529
4,Dharwad,117,507,36,247
5,Gadag,92,439,86,348
,North Eastern Range,,,,
1,Kalaburagi,254,1154,48,426
2,Bidar,286,1345,61,399
3,Yadgir,181,674,41,246
,Southern Range,,,,
1,Mysuru Dist,488,2145,64,384
2,Mandya,396,1830,69,436
3,Chamarajanagar,158,813,28,277
4,Hassan,438,2282,68,504
5,Kodagu,125,651,29,229
,Ballari Range,,,,
1,Ballari,166,884,95,577
2,Koppal,159,706,50,355
3,Raichur,264,1089,100,635
4,Vijayanagara,168,749,37,368
,Karnataka Railways,67,369,5,57
,STATE,13257,60865,4762,25214
