S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,18,0,
76,KSRP Training Munirabad,14,12,2,
77,PDMS Yelahanka,32,16,16,
78,PTC Gulbarga,45,11,34,
79,PTS Aimangala,19,9,10,
80,PTS Dharwad,19,12,7,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,21,0,
84,PTS Thanisandra,22,0,22,
85,RFSL Ballari,7,4,3,
86,RFSL Belgaum,10,2,8,
87,RFSL Davanagere,9,7,2,
88,RFSL Gulbarga,7,1,6,
89,RFSL Hubballi,5,0,5,
90,RFSL Mangalore,12,0,12,
91,RFSL Mysore,8,5,3,
92,SCRB,42,42,0,
93,Southern Range,7,3,4,
94,Special Task Force,8,0,8,
95,State Wireless,82,50,32,
96,TTI Bangalore,6,3,3,
97,Western Range,3,0,3,
,Grand Total,13213,8048,5165,
