S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,16,9,7,
76,KSRP Training Munirabad,14,9,5,
77,PDMS Yelahanka,27,4,23,
78,PTC Gulbarga,27,0,27,
79,PTS Aimangala,19,3,16,
80,PTS Dharwad,19,2,17,
81,PTS Hassan,19,0,19,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,2,19,
84,PTS Thanisandra,19,1,18,
85,RFSL Ballari,5,2,3,
86,RFSL Belgaum,10,0,10,
87,RFSL Davanagere,8,3,5,
88,RFSL Gulbarga,7,0,7,
89,RFSL Hubballi,5,2,3,
90,RFSL Mangalore,9,2,7,
91,RFSL Mysore,8,1,7,
92,SCRB,42,20,22,
93,Southern Range,6,0,6,
94,Special Task Force,2,0,2,
95,State Wireless,82,20,62,
96,TTI Bangalore,5,1,4,
97,Western Range,3,1,2,
,Grand Total,12558,5408,7150,
