"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(April -2025)","During the current
Year Upto the month
under review","During the month
under review
(April -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2508,10851,1080,5246
2,Mysuru City,166,717,44,174
3,Hubballi Dharwad City,126,521,202,417
4,Mangaluru City,180,705,121,492
5,Belagavi City,140,579,38,170
6,Kalaburagi City,125,598,65,385
,Central Range,,,,
1,Bengaluru Dist,622,2430,172,534
2,Ramanagara,308,1263,79,361
3,Tumakuru,500,1979,222,1065
4,Kolar,168,712,45,167
5,Chickballapura,266,865,225,739
6,K.G.F,54,245,31,117
,Eastern Range,,,,
1,Chitradurga,367,1354,154,636
2,Davanagere,265,1120,119,537
3,Shivamogga,398,1725,174,605
4,Haveri,224,845,90,383
,Western Range,,,,
1,Dakshina Kannada,150,556,16,103
2,Udupi,209,863,53,198
3,Chikkamagaluru,223,904,101,369
4,Uttara Kannada,198,862,103,344
,Northern Range,,,,
1,Belagavi Dist,349,1511,213,598
2,Bagalkot,172,723,109,417
3,Vijayapur,282,1052,219,714
4,Dharwad,103,355,41,162
5,Gadag,80,343,81,372
,North Eastern Range,,,,
1,Kalaburagi,268,933,49,318
2,Bidar,263,1064,194,514
3,Yadgir,137,546,94,376
,Southern Range,,,,
1,Mysuru Dist,497,1772,118,336
2,Mandya,384,1511,87,379
3,Chamarajanagar,186,701,77,326
4,Hassan,440,1682,119,460
5,Kodagu,178,592,50,218
,Ballari Range,,,,
1,Ballari,160,591,149,571
2,Koppal,202,671,89,379
3,Raichur,273,998,135,454
4,Vijayanagara,199,680,110,336
,Karnataka Railways,56,231,14,32
,STATE,11426,45650,5082,20004
