"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(June -2024)","During the current
Year Upto the month
under review","During the month
under review
(June-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3077,18503,2047,11848
2,Mysuru City,239,1349,64,370
3,Hubballi Dharwad City,143,831,89,497
4,Mangaluru City,183,1075,107,781
5,Belagavi City,150,909,30,220
6,Kalaburagi City,154,859,42,274
,Central Range,,,,
1,Bengaluru Dist,680,3859,150,982
2,Ramanagara,312,2037,72,444
3,Tumakuru,504,3245,196,990
4,Kolar,213,1167,41,276
5,Chickballapura,238,1389,83,584
6,K.G.F,76,409,19,212
,Eastern Range,,,,
1,Chitradurga,416,2338,96,786
2,Davanagere,291,1675,152,701
3,Shivamogga,391,2402,212,956
4,Haveri,220,1354,57,556
,Western Range,,,,
1,Dakshina Kannada,131,1072,30,187
2,Udupi,214,1482,68,396
3,Chikkamagaluru,195,1399,88,497
4,Uttara Kannada,221,1392,67,444
,Northern Range,,,,
1,Belagavi Dist,396,2419,63,663
2,Bagalkot,185,1107,71,459
3,Vijayapur,281,1560,82,617
4,Dharwad,77,582,50,299
5,Gadag,77,511,54,407
,North Eastern Range,,,,
1,Kalaburagi,216,1365,45,476
2,Bidar,267,1609,60,462
3,Yadgir,150,825,48,295
,Southern Range,,,,
1,Mysuru Dist,374,2513,80,468
2,Mandya,321,2149,100,538
3,Chamarajanagar,155,963,66,348
4,Hassan,454,2731,97,606
5,Kodagu,117,769,53,281
,Ballari Range,,,,
1,Ballari,196,1078,107,685
2,Koppal,155,854,82,444
3,Raichur,262,1335,79,730
4,Vijayanagara,156,904,152,521
,Karnataka Railways,77,447,8,65
,STATE,11964,72467,5007,30365
