S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,154,154,0,
2,Ballari,156,153,3,
3,Belagavi City,228,221,7,
4,Belagavi Dist,276,263,13,
5,Bengaluru City,"3,206","1,694",1512,
6,Bengaluru Dist,240,70,170,
7,Bidar,192,110,82,
8,Chamarajanagar,121,98,23,
9,Chickballapura,132,132,0,
10,Chikkamagaluru,193,157,36,
11,Chitradurga,192,84,108,
12,Coastal Security Police,56,23,33,
13,Dakshina Kannada,161,140,21,
14,Davanagere,200,124,76,
15,Dharwad,111,108,3,
16,Gadag,178,117,61,
17,Hassan,196,196,0,
18,Haveri,166,140,26,
19,Hubballi Dharwad City,246,114,132,
20,K.G.F,83,54,29,
21,Kalaburagi,214,94,120,
22,Kalaburagi City,185,70,115,
23,Karnataka Railways,98,80,18,
24,Kodagu,148,127,21,
25,Kolar,171,117,54,
26,Koppal,136,135,1,
27,Mandya,215,152,63,
28,Mangaluru City,249,98,151,
29,Mysuru City,264,128,136,
30,Mysuru Dist,191,123,68,
31,Raichur,176,167,9,
32,Ramanagara,182,96,86,
33,Shivamogga,207,156,51,
34,Tumakuru,289,112,177,
35,Udupi,144,130,14,
,,,,,
