Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",9702,1572,1574,2281
,Sub Total,9702,1572,1574,2281
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,0,0,0,0
,Rape with Murder,3,0,0,1
,Rape,1163,227,224,205
,Others,426,99,93,88
,Sub Total,1592,326,317,294
,Total (Item 1 to 36),25278,4510,4963,4777
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,0,0
,1.2 Gang Rape,8,0,1,2
,1.3 other Cases of Rape,270,49,50,78
,Sub Total,279,49,51,80
2,Outraging modesty (Molestation) (sec.354 IPC),3011,521,612,682
3,Kidnapping & Abduction of Women: (Sec.366 IPC),51,13,11,11
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509
IPC if victim is a woman)",48,12,12,12
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",3,2,3,0
7,Murder for other reasons,184,34,39,45
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",1,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",17,5,1,5
10,Attempt to Commit murder for other reasons,361,53,71,100
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),45,47,9,9
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",1380,183,219,325
14,Abetment of Suicide (Sec.306 IPC),117,13,13,9
15,Immoral Traffic (prevention) Act.,144,22,12,32
16,"Indecent Representation of Women(Prohibition)
Act-1986",0,1,0,0
17,Pornography,0,0,0,0
18,"Offences against Public Servants (Sec.182-188-
333-353 IPC)",56,8,15,11
19,Offences related to Marriage,15,3,1,4
20,Cyber Crimes,2849,590,447,618
,Total (Item 1 to 20),8561,1556,1516,1943
